,target_com,depth,target_per,総収益,投資金額,出現数,購買予測数,利益率,購買的中率,的中数
104,1,5,56,392840,447400,395,4474,87.80509611,8.828788556,395
105,1,5,57,392840,447400,395,4474,87.80509611,8.828788556,395
106,1,5,58,392840,447400,395,4474,87.80509611,8.828788556,395
107,1,5,59,392840,447400,395,4474,87.80509611,8.828788556,395
108,1,5,60,392840,447400,395,4474,87.80509611,8.828788556,395
109,1,5,61,392840,447400,395,4474,87.80509611,8.828788556,395
110,1,5,62,392840,447400,395,4474,87.80509611,8.828788556,395
111,1,5,63,392840,447400,395,4474,87.80509611,8.828788556,395
112,1,5,64,392840,447300,395,4473,87.82472613,8.830762352,395
113,1,5,65,392840,447100,395,4471,87.86401253,8.834712592,395
114,1,5,66,392840,447100,395,4471,87.86401253,8.834712592,395
115,1,5,67,392840,446500,395,4465,87.98208287,8.846584546,395
116,1,5,68,392840,446100,395,4461,88.06097288,8.854516924,395
117,1,5,69,392840,445200,395,4452,88.23899371,8.872416891,395
118,1,5,70,390870,444300,395,4443,87.97434166,8.867882062,394
119,1,5,71,390870,442600,395,4426,88.31224582,8.901943064,394
120,1,5,72,390870,441500,395,4415,88.53227633,8.92412231,394
121,1,5,73,388400,438300,395,4383,88.61510381,8.966461328,393
122,1,5,74,374500,433300,395,4333,86.42972536,9.000692361,390
123,1,5,75,375130,427500,395,4275,87.7497076,9.122807018,390
124,1,5,76,366480,422800,395,4228,86.67928098,9.105960265,385
125,1,5,77,366020,417200,395,4172,87.7325024,9.228187919,385
126,1,5,78,363160,411200,395,4112,88.31712062,9.338521401,384
127,1,5,79,352260,404700,395,4047,87.04225352,9.315542377,377
128,1,5,80,347270,398200,395,3982,87.20994475,9.367152185,373
129,1,5,81,338110,389700,395,3897,86.7616115,9.417500642,367
130,1,5,82,334980,380100,395,3801,88.12943962,9.602736122,365
131,1,5,83,328350,368900,395,3689,89.00786121,9.785849824,361
132,1,5,84,316100,355600,395,3556,88.8920135,9.842519685,350
133,1,5,85,309230,348600,395,3486,88.70625359,9.896729776,345
134,1,5,86,292140,334100,395,3341,87.44088596,10.02693804,335
135,1,5,87,282570,324800,395,3248,86.99815271,10.03694581,326
136,1,5,88,282790,314200,395,3142,90.00318269,10.34373011,325
137,1,5,89,279060,304200,395,3042,91.7357002,10.55226824,321
138,1,5,90,273520,293300,395,2933,93.25605182,10.77395159,316
139,1,5,91,265330,284300,395,2843,93.32747098,10.93914879,311
140,1,5,92,259700,271800,395,2718,95.5481972,11.22148639,305
141,1,5,93,249730,259800,395,2598,96.12394149,11.39337952,296
142,1,5,94,247650,252600,395,2526,98.04038005,11.67854315,295
143,1,5,95,237500,242400,395,2424,97.97854785,11.88118812,288
144,1,5,96,226060,230800,395,2308,97.94627383,12.04506066,278
145,1,5,97,210840,222800,395,2228,94.63195691,12.02872531,268
146,1,5,98,208680,214100,395,2141,97.46847268,12.19056516,261
147,1,5,99,190900,202800,395,2028,94.1321499,12.13017751,246
148,1,5,100,182530,195000,395,1950,93.60512821,12.1025641,236
149,1,5,101,178950,189600,395,1896,94.38291139,12.39451477,235
150,1,5,102,164970,179900,395,1799,91.70094497,12.39577543,223
151,1,5,103,161470,170000,395,1700,94.98235294,12.58823529,214
152,1,5,104,149490,161000,395,1610,92.85093168,12.79503106,206
153,1,5,105,138600,150500,395,1505,92.09302326,13.02325581,196
154,1,5,106,138530,143900,395,1439,96.26824183,13.48158443,194
155,1,5,107,124980,137300,395,1373,91.02694829,13.10997815,180
156,1,5,108,111640,123400,395,1234,90.47001621,13.37115073,165
157,1,5,109,108870,119000,395,1190,91.48739496,13.36134454,159
158,1,5,110,100960,114000,395,1140,88.56140351,13.07017544,149
159,1,5,111,95580,107500,395,1075,88.91162791,13.11627907,141
160,1,5,112,90930,99900,395,999,91.02102102,13.71371371,137
161,1,5,113,81540,90800,395,908,89.80176211,13.76651982,125
162,1,5,114,82010,88700,395,887,92.45772266,14.09244645,125
163,1,5,115,68030,82500,395,825,82.46060606,13.57575758,112
164,1,5,116,67160,75300,395,753,89.18990704,13.94422311,105
165,1,5,117,62690,71700,395,717,87.43375174,13.80753138,99
166,1,5,118,46570,61200,395,612,76.09477124,12.90849673,79
167,1,5,119,42380,56400,395,564,75.14184397,13.12056738,74
168,1,5,120,40810,50600,395,506,80.65217391,14.03162055,71
169,1,5,121,35930,44000,395,440,81.65909091,14.77272727,65
170,1,5,122,31600,42700,395,427,74.00468384,13.58313817,58
171,1,5,123,27160,36100,395,361,75.23545706,13.85041551,50
172,1,5,124,23730,30800,395,308,77.04545455,14.28571429,44
173,1,5,125,21970,28300,395,283,77.63250883,13.78091873,39
174,1,5,126,18520,21700,395,217,85.34562212,16.12903226,35
175,1,5,127,14880,20300,395,203,73.30049261,13.79310345,28
176,1,5,128,8520,13600,395,136,62.64705882,12.5,17
177,1,5,129,9240,10500,395,105,88,17.14285714,18
178,1,5,130,12160,12700,395,127,95.7480315,18.8976378,24
179,1,5,131,3020,5000,395,50,60.4,12,6
180,1,5,132,3470,5100,395,51,68.03921569,13.7254902,7
181,1,5,133,2240,3600,395,36,62.22222222,11.11111111,4
182,1,5,134,4030,3300,395,33,122.1212121,24.24242424,8
183,1,5,135,1760,1300,395,13,135.3846154,23.07692308,3
184,1,5,136,1300,900,395,9,144.4444444,22.22222222,2
185,1,5,137,1300,600,395,6,216.6666667,33.33333333,2
186,1,5,138,0,200,395,2,0,0,0
187,1,5,139,0,100,395,1,0,0,0
188,1,5,140,0,100,395,1,0,0,0
189,1,5,141,0,0,395,0,,,0
190,1,5,142,0,0,395,0,,,0
191,1,5,143,0,0,395,0,,,0
192,1,5,144,0,0,395,0,,,0
193,1,5,145,0,0,395,0,,,0
194,1,5,146,0,0,395,0,,,0
195,1,5,147,0,0,395,0,,,0
196,1,5,148,0,0,395,0,,,0
197,1,5,149,0,0,395,0,,,0
198,1,6,51,392840,447400,395,4474,87.80509611,8.828788556,395
199,1,6,52,392840,447400,395,4474,87.80509611,8.828788556,395
200,1,6,53,392840,447400,395,4474,87.80509611,8.828788556,395
201,1,6,54,392840,447400,395,4474,87.80509611,8.828788556,395
202,1,6,55,392840,447400,395,4474,87.80509611,8.828788556,395
203,1,6,56,392840,447400,395,4474,87.80509611,8.828788556,395
204,1,6,57,392840,447300,395,4473,87.82472613,8.830762352,395
205,1,6,58,392840,447400,395,4474,87.80509611,8.828788556,395
206,1,6,59,392840,447200,395,4472,87.84436494,8.83273703,395
207,1,6,60,392840,447000,395,4470,87.8836689,8.836689038,395
208,1,6,61,392840,447200,395,4472,87.84436494,8.83273703,395
209,1,6,62,392840,447000,395,4470,87.8836689,8.836689038,395
