,date,number_race,racer_1_ID,racer_1_age,racer_1_ave_st,racer_1_bo,racer_1_doub,racer_1_male,racer_1_mo,racer_1_rank,racer_2_ID,racer_2_age,racer_2_ave_st,racer_2_bo,racer_2_doub,racer_2_male,racer_2_mo,racer_2_rank,racer_3_ID,racer_3_age,racer_3_ave_st,racer_3_bo,racer_3_doub,racer_3_male,racer_3_mo,racer_3_rank,racer_4_ID,racer_4_age,racer_4_ave_st,racer_4_bo,racer_4_doub,racer_4_male,racer_4_mo,racer_4_rank,racer_5_ID,racer_5_age,racer_5_ave_st,racer_5_bo,racer_5_doub,racer_5_male,racer_5_mo,racer_5_rank,racer_6_ID,racer_6_age,racer_6_ave_st,racer_6_bo,racer_6_doub,racer_6_male,racer_6_mo,racer_6_rank,result_com
,2012-04-02,5,4342,28.0,0.16,47.0,0.43799999999999994,1,23.0,3,3561,44.0,0.2,46.0,0.18600000000000003,1,59.0,2,2974,55.0,0.18,22.0,0.257,1,25.0,2,3354,44.0,0.18,59.0,0.293,1,71.0,2,3826,39.0,0.18,49.0,0.445,1,12.0,4,4635,22.0,0.14,27.0,0.057,1,22.0,1,11
,2012-04-02,6,3313,47.0,0.17,12.0,0.349,1,38.0,3,3694,41.0,0.17,17.0,0.38,1,41.0,3,3478,42.0,0.17,18.0,0.34,1,43.0,2,4033,34.0,0.16,50.0,0.503,1,45.0,4,4136,32.0,0.15,56.0,0.49200000000000005,1,47.0,4,4640,21.0,0.16,41.0,0.02,1,29.0,1,53
,2012-04-02,7,3428,45.0,0.19,54.0,0.33299999999999996,1,40.0,2,3473,42.0,0.15,28.0,0.698,1,39.0,4,4393,26.0,0.21,25.0,0.359,1,64.0,2,2904,53.0,0.2,32.0,0.222,1,19.0,2,3679,39.0,0.16,66.0,0.562,1,21.0,4,3753,41.0,0.18,21.0,0.408,1,28.0,3,22
,2012-04-02,8,3818,41.0,0.15,44.0,0.114,1,75.0,2,3354,44.0,0.18,59.0,0.293,1,71.0,2,4047,32.0,0.16,74.0,0.33899999999999997,1,48.0,3,3866,37.0,0.15,43.0,0.344,1,30.0,3,4101,33.0,0.17,23.0,0.527,1,15.0,4,4058,33.0,0.24,37.0,0.23800000000000002,1,50.0,2,92
,2012-04-02,9,4033,34.0,0.16,50.0,0.503,1,45.0,4,2958,55.0,0.18,68.0,0.39,1,33.0,3,3826,39.0,0.18,49.0,0.445,1,12.0,4,3660,43.0,0.19,55.0,0.266,1,76.0,2,3883,39.0,0.18,20.0,0.267,1,24.0,2,4185,32.0,0.19,58.0,0.16,1,65.0,2,24
,2012-04-02,11,3685,38.0,0.15,30.0,0.42700000000000005,1,55.0,4,4136,32.0,0.15,56.0,0.49200000000000005,1,47.0,4,3694,41.0,0.17,17.0,0.38,1,41.0,3,3781,36.0,0.17,70.0,0.33,1,31.0,2,3670,41.0,0.16,64.0,0.467,1,53.0,3,3428,45.0,0.19,54.0,0.33299999999999996,1,40.0,2,1
,2012-04-02,12,4101,33.0,0.17,23.0,0.527,1,15.0,4,2974,55.0,0.18,22.0,0.257,1,25.0,2,3473,42.0,0.15,28.0,0.698,1,39.0,4,3478,42.0,0.17,18.0,0.34,1,43.0,2,3278,46.0,0.15,52.0,0.48,1,67.0,4,3818,41.0,0.15,44.0,0.114,1,75.0,2,7
,2012-04-04,1,3473,42.0,0.15,28.0,0.698,1,39.0,4,3936,35.0,0.19,24.0,0.295,1,63.0,2,3561,44.0,0.2,46.0,0.18600000000000003,1,59.0,2,2959,54.0,0.21,75.0,0.247,1,11.0,2,4554,23.0,0.18,31.0,0.114,1,16.0,2,4640,21.0,0.16,41.0,0.02,1,29.0,1,2
,2012-04-04,2,3826,39.0,0.18,49.0,0.445,1,12.0,4,3989,34.0,0.23,62.0,0.213,1,35.0,2,4058,33.0,0.24,37.0,0.23800000000000002,1,50.0,2,3753,41.0,0.18,21.0,0.408,1,28.0,3,2904,53.0,0.2,32.0,0.222,1,19.0,2,4635,22.0,0.14,27.0,0.057,1,22.0,1,5
,2012-04-04,3,2974,55.0,0.18,22.0,0.257,1,25.0,2,3636,42.0,0.18,67.0,0.252,1,46.0,2,4253,29.0,0.2,29.0,0.27,1,54.0,2,3818,41.0,0.15,44.0,0.114,1,75.0,2,3073,50.0,0.17,38.0,0.252,1,34.0,2,4632,23.0,0.18,45.0,0.03,1,62.0,1,5
,2012-04-04,4,3670,41.0,0.16,64.0,0.467,1,53.0,3,3694,41.0,0.17,17.0,0.38,1,41.0,3,4185,32.0,0.19,58.0,0.16,1,65.0,2,3679,39.0,0.16,66.0,0.562,1,21.0,4,4010,33.0,0.2,51.0,0.188,1,20.0,2,4047,32.0,0.16,74.0,0.33899999999999997,1,48.0,3,9
,2012-04-04,5,4033,34.0,0.16,50.0,0.503,1,45.0,4,3224,47.0,0.16,13.0,0.373,1,56.0,2,2958,55.0,0.18,68.0,0.39,1,33.0,3,4391,26.0,0.19,65.0,0.483,1,61.0,4,4393,26.0,0.21,25.0,0.359,1,64.0,2,4554,23.0,0.18,31.0,0.114,1,16.0,2,1
,2012-04-04,7,3660,43.0,0.19,55.0,0.266,1,76.0,2,3278,46.0,0.15,52.0,0.48,1,67.0,4,3428,45.0,0.19,54.0,0.33299999999999996,1,40.0,2,3685,38.0,0.15,30.0,0.42700000000000005,1,55.0,4,4640,21.0,0.16,41.0,0.02,1,29.0,1,3883,39.0,0.18,20.0,0.267,1,24.0,2,29
,2012-04-04,8,3561,44.0,0.2,46.0,0.18600000000000003,1,59.0,2,3753,41.0,0.18,21.0,0.408,1,28.0,3,4331,29.0,0.17,34.0,0.245,1,32.0,2,4342,28.0,0.16,47.0,0.43799999999999994,1,23.0,3,3636,42.0,0.18,67.0,0.252,1,46.0,2,4101,33.0,0.17,23.0,0.527,1,15.0,4,68
,2012-04-12,1,4008,33.0,0.17,49.0,0.5,1,51.0,4,4366,27.0,0.16,55.0,0.391,1,68.0,3,3813,36.0,0.19,72.0,0.493,1,50.0,4,4320,27.0,0.12,64.0,0.493,1,24.0,4,3984,35.0,0.16,53.0,0.545,1,15.0,4,4019,32.0,0.2,32.0,0.45399999999999996,1,18.0,4,102
,2012-04-12,3,3773,38.0,0.17,68.0,0.42700000000000005,1,73.0,4,4292,27.0,0.15,23.0,0.511,1,57.0,4,3576,40.0,0.19,48.0,0.518,1,67.0,4,4276,29.0,0.2,14.0,0.387,1,48.0,2,4140,32.0,0.17,57.0,0.556,1,47.0,4,3897,36.0,0.17,52.0,0.552,1,41.0,4,24
,2012-04-12,4,3502,43.0,0.19,15.0,0.47200000000000003,1,31.0,4,3251,46.0,0.18,43.0,0.45,1,39.0,4,4205,30.0,0.16,76.0,0.41600000000000004,1,26.0,4,3612,40.0,0.17,54.0,0.451,1,22.0,4,4049,32.0,0.2,56.0,0.451,1,49.0,4,3568,41.0,0.17,20.0,0.469,1,69.0,4,5
,2012-04-12,5,3529,41.0,0.16,46.0,0.52,1,61.0,4,3966,33.0,0.2,40.0,0.618,1,20.0,4,4364,27.0,0.15,12.0,0.496,1,13.0,4,4370,26.0,0.16,11.0,0.536,1,65.0,4,3992,34.0,0.13,27.0,0.48200000000000004,1,74.0,4,3941,34.0,0.14,73.0,0.5579999999999999,1,19.0,4,24
,2012-04-12,6,4264,28.0,0.18,66.0,0.486,1,44.0,4,4193,31.0,0.13,26.0,0.40700000000000003,1,62.0,3,4366,27.0,0.16,55.0,0.391,1,68.0,3,3557,39.0,0.14,17.0,0.527,1,21.0,4,4174,30.0,0.16,35.0,0.5579999999999999,1,75.0,4,3983,35.0,0.14,47.0,0.484,1,14.0,4,10
,2012-04-12,7,3349,44.0,0.17,74.0,0.496,1,17.0,4,3933,36.0,0.16,22.0,0.583,1,12.0,4,4320,27.0,0.12,64.0,0.493,1,24.0,4,3942,34.0,0.17,63.0,0.455,1,59.0,4,3555,40.0,0.17,36.0,0.47,1,52.0,4,4070,32.0,0.16,16.0,0.5,1,76.0,4,96
,2012-04-12,9,3612,40.0,0.17,54.0,0.451,1,22.0,4,4168,30.0,0.17,31.0,0.5720000000000001,1,64.0,4,3984,35.0,0.16,53.0,0.545,1,15.0,4,3422,41.0,0.15,21.0,0.537,1,35.0,4,4418,25.0,0.16,13.0,0.5770000000000001,1,53.0,4,4140,32.0,0.17,57.0,0.556,1,47.0,4,62
,2012-04-12,10,3908,34.0,0.15,33.0,0.336,1,55.0,4,3576,40.0,0.19,48.0,0.518,1,67.0,4,3941,34.0,0.14,73.0,0.5579999999999999,1,19.0,4,3983,35.0,0.14,47.0,0.484,1,14.0,4,3613,40.0,0.14,50.0,0.435,1,23.0,4,4205,30.0,0.16,76.0,0.41600000000000004,1,26.0,4,66
,2012-04-12,11,3557,39.0,0.14,17.0,0.527,1,21.0,4,3773,38.0,0.17,68.0,0.42700000000000005,1,73.0,4,3251,46.0,0.18,43.0,0.45,1,39.0,4,4008,33.0,0.17,49.0,0.5,1,51.0,4,3572,41.0,0.22,28.0,0.5,1,70.0,4,3942,34.0,0.17,63.0,0.455,1,59.0,4,19
,2012-04-12,12,3783,36.0,0.15,30.0,0.591,1,40.0,4,3946,36.0,0.18,70.0,0.51,1,66.0,4,2992,51.0,0.13,65.0,0.504,1,37.0,4,4024,35.0,0.16,71.0,0.575,1,46.0,4,3779,37.0,0.12,51.0,0.483,1,72.0,4,4096,31.0,0.16,60.0,0.452,1,45.0,4,61
,2012-04-13,1,4096,31.0,0.16,60.0,0.452,1,45.0,4,3349,44.0,0.17,74.0,0.496,1,17.0,4,3572,41.0,0.22,28.0,0.5,1,70.0,4,4364,27.0,0.15,12.0,0.496,1,13.0,4,3568,41.0,0.17,20.0,0.469,1,69.0,4,3908,34.0,0.15,33.0,0.336,1,55.0,4,10
,2012-04-13,2,3984,35.0,0.16,53.0,0.545,1,15.0,4,3555,40.0,0.17,36.0,0.47,1,52.0,4,3502,43.0,0.19,15.0,0.47200000000000003,1,31.0,4,4193,31.0,0.13,26.0,0.40700000000000003,1,62.0,3,3933,36.0,0.16,22.0,0.583,1,12.0,4,3779,37.0,0.12,51.0,0.483,1,72.0,4,7
,2012-04-13,3,3992,34.0,0.13,27.0,0.48200000000000004,1,74.0,4,4370,26.0,0.16,11.0,0.536,1,65.0,4,4276,29.0,0.2,14.0,0.387,1,48.0,2,4174,30.0,0.16,35.0,0.5579999999999999,1,75.0,4,4292,27.0,0.15,23.0,0.511,1,57.0,4,2992,51.0,0.13,65.0,0.504,1,37.0,4,1
,2012-04-13,4,3703,39.0,0.16,59.0,0.5329999999999999,1,27.0,4,3529,41.0,0.16,46.0,0.52,1,61.0,4,3978,35.0,0.15,19.0,0.515,1,16.0,4,3966,33.0,0.2,40.0,0.618,1,20.0,4,4008,33.0,0.17,49.0,0.5,1,51.0,4,3783,36.0,0.15,30.0,0.591,1,40.0,4,2
,2012-04-13,5,4070,32.0,0.16,16.0,0.5,1,76.0,4,4364,27.0,0.15,12.0,0.496,1,13.0,4,3946,36.0,0.18,70.0,0.51,1,66.0,4,4205,30.0,0.16,76.0,0.41600000000000004,1,26.0,4,4019,32.0,0.2,32.0,0.45399999999999996,1,18.0,4,4366,27.0,0.16,55.0,0.391,1,68.0,3,15
,2012-04-13,6,3576,40.0,0.19,48.0,0.518,1,67.0,4,4024,35.0,0.16,71.0,0.575,1,46.0,4,4168,30.0,0.17,31.0,0.5720000000000001,1,64.0,4,3908,34.0,0.15,33.0,0.336,1,55.0,4,4193,31.0,0.13,26.0,0.40700000000000003,1,62.0,3,3773,38.0,0.17,68.0,0.42700000000000005,1,73.0,4,10
