,pred_3,pred_5,pred_7,pred_12,pred_13,pred_14,pred_21,result_com,year,month,num_date,range_date,season,right_pred
130,,,,,,,,,2012,4,2,6,sp,0
131,,,,,,,,,2012,4,2,6,sp,0
132,,,,,,,,,2012,4,2,6,sp,0
133,,,,,,,,,2012,4,3,6,sp,0
134,,,,,,,,,2012,4,3,6,sp,0
135,,,,,,,,,2012,4,3,6,sp,0
136,,,,,,,,,2012,4,3,6,sp,0
137,,,,,,,,,2012,4,3,6,sp,0
138,,,,,,,,,2012,4,3,6,sp,0
139,,,,,,,,,2012,4,3,6,sp,0
140,,,,,,,,,2012,4,3,6,sp,0
141,,,,,,,,,2012,4,3,6,sp,0
142,,,,,,,,,2012,4,3,6,sp,0
143,,,,,,,,,2012,4,3,6,sp,0
144,,,,,,,,,2012,4,3,6,sp,0
145,,,,,,,,,2012,4,4,6,sp,0
146,,,,,,,,,2012,4,4,6,sp,0
147,,,,,,,,,2012,4,4,6,sp,0
148,,,,,,,,,2012,4,4,6,sp,0
149,,,,,,,,,2012,4,4,6,sp,0
150,,,,,,,,,2012,4,4,6,sp,0
151,,,,,,,,,2012,4,4,6,sp,0
152,,,,,,,,,2012,4,4,6,sp,0
153,,,,,,,,,2012,4,4,6,sp,0
154,,,,,,,,,2012,4,4,6,sp,0
155,,,,,,,,,2012,4,4,6,sp,0
156,,,,,,,,,2012,4,5,6,sp,0
157,,,,,,,,,2012,4,5,6,sp,0
158,,,,,,,,,2012,4,5,6,sp,0
159,,,,,,,,,2012,4,5,6,sp,0
160,,,,,,,,,2012,4,5,6,sp,0
161,,,,,,,,,2012,4,5,6,sp,0
162,,,,,,,,,2012,4,5,6,sp,0
163,,,,,,,,,2012,4,5,6,sp,0
164,,,,,,,,,2012,4,5,6,sp,0
165,,,,,,,,,2012,4,5,6,sp,0
166,,,,,,,,,2012,4,6,6,sp,0
167,,,,,,,,,2012,4,6,6,sp,0
168,,,,,,,,,2012,4,6,6,sp,0
169,,,,,,,,,2012,4,6,6,sp,0
170,,,,,,,,,2012,4,6,6,sp,0
171,,,,,,,,,2012,4,6,6,sp,0
172,,,,,,,,,2012,4,6,6,sp,0
173,,,,,,,,,2012,4,6,6,sp,0
174,,,,,,,,,2012,4,6,6,sp,0
175,,,,,,,,,2012,4,6,6,sp,0
176,,,,,,,,,2012,4,6,6,sp,0
177,,,,,,,,,2012,4,6,6,sp,0
178,,,,,,,,,2012,4,1,6,sp,0
179,,,,,,,,,2012,4,1,6,sp,0
180,,,,,,,,,2012,4,1,6,sp,0
181,,,,,,,,,2012,4,1,6,sp,0
182,,,,,,,,,2012,4,1,6,sp,0
183,,,,,,,,,2012,4,1,6,sp,0
184,,,,,,,,,2012,4,1,6,sp,0
185,,,,,,,,,2012,4,1,6,sp,0
186,,,,,,,,,2012,4,1,6,sp,0
187,,,,,,,,,2012,5,2,6,sp,0
188,,,,,,,,,2012,5,2,6,sp,0
189,,,,,,,,,2012,5,2,6,sp,0
190,,,,,,,,,2012,5,2,6,sp,0
191,,,,,,,,,2012,5,2,6,sp,0
192,,,,,,,,,2012,5,2,6,sp,0
193,,,,,,,,,2012,5,2,6,sp,0
194,,,,,,,,,2012,5,2,6,sp,0
195,,,,,,,,,2012,5,2,6,sp,0
196,,,,,,,,,2012,5,2,6,sp,0
197,,,,,,,,,2012,5,2,6,sp,0
198,,,,,,,,,2012,5,3,6,sp,0
199,,,,,,,,,2012,5,3,6,sp,0
200,,,,,,,,,2012,5,3,6,sp,0
201,,,,,,,,,2012,5,3,6,sp,0
202,,,,,,,,,2012,5,3,6,sp,0
203,,,,,,,,,2012,5,3,6,sp,0
204,,,,,,,,,2012,5,3,6,sp,0
205,,,,,,,,,2012,5,3,6,sp,0
206,,,,,,,,,2012,5,3,6,sp,0
207,,,,,,,,,2012,5,3,6,sp,0
208,,,,,,,,,2012,5,3,6,sp,0
209,,,,,,,,,2012,5,3,6,sp,0
210,,,,,,,,,2012,5,4,6,sp,0
211,,,,,,,,,2012,5,4,6,sp,0
212,,,,,,,,,2012,5,4,6,sp,0
213,,,,,,,,,2012,5,4,6,sp,0
214,,,,,,,,,2012,5,4,6,sp,0
215,,,,,,,,,2012,5,4,6,sp,0
216,,,,,,,,,2012,5,4,6,sp,0
217,,,,,,,,,2012,5,4,6,sp,0
218,,,,,,,,,2012,5,4,6,sp,0
