,pred_3,pred_4,pred_5,pred_7,pred_13,pred_14,result_com,date,year,month,day,num_date,range_date,season,right_pred
15239,0,0,0,0,0,1,14,2019-04-11,2019,4,11,1,5,sp,1
15240,0,0,0,0,1,0,5,2019-04-11,2019,4,11,1,5,sp,0
15241,0,0,1,0,1,0,1,2019-04-11,2019,4,11,1,5,sp,0
15242,0,0,0,0,0,0,3,2019-04-11,2019,4,11,1,5,sp,0
15243,0,0,0,0,0,0,5,2019-04-11,2019,4,11,1,5,sp,0
15244,0,0,0,0,0,0,5,2019-04-11,2019,4,11,1,5,sp,0
15245,0,0,0,0,0,0,9,2019-04-11,2019,4,11,1,5,sp,0
15246,0,0,0,0,0,0,41,2019-04-11,2019,4,11,1,5,sp,0
15247,0,0,0,0,0,0,10,2019-04-11,2019,4,11,1,5,sp,0
15248,0,0,0,0,0,0,6,2019-04-12,2019,4,12,2,5,sp,0
15249,0,0,0,0,0,0,85,2019-04-12,2019,4,12,2,5,sp,0
15250,0,0,0,0,0,0,18,2019-04-12,2019,4,12,2,5,sp,0
15251,0,0,0,0,0,0,92,2019-04-12,2019,4,12,2,5,sp,0
15252,0,0,0,0,0,0,1,2019-04-12,2019,4,12,2,5,sp,0
15253,0,1,0,0,1,0,2,2019-04-12,2019,4,12,2,5,sp,0
15254,0,0,0,0,0,0,19,2019-04-12,2019,4,12,2,5,sp,0
15255,0,1,0,0,0,0,9,2019-04-12,2019,4,12,2,5,sp,0
15256,0,0,0,0,0,0,17,2019-04-12,2019,4,12,2,5,sp,0
15257,0,0,0,0,0,0,12,2019-04-12,2019,4,12,2,5,sp,0
15258,0,1,0,0,0,0,4,2019-04-13,2019,4,13,3,5,sp,1
15259,0,0,0,0,0,0,74,2019-04-13,2019,4,13,3,5,sp,0
15260,0,0,0,0,0,0,11,2019-04-13,2019,4,13,3,5,sp,0
15261,1,0,0,0,0,0,3,2019-04-13,2019,4,13,3,5,sp,1
15262,0,0,0,0,0,0,8,2019-04-13,2019,4,13,3,5,sp,0
15263,0,0,0,0,0,0,91,2019-04-13,2019,4,13,3,5,sp,0
15264,0,0,0,0,0,0,21,2019-04-13,2019,4,13,3,5,sp,0
15265,0,0,0,0,0,0,60,2019-04-13,2019,4,13,3,5,sp,0
15266,0,1,0,0,0,0,27,2019-04-13,2019,4,13,3,5,sp,0
15267,0,1,0,0,0,0,4,2019-04-13,2019,4,13,3,5,sp,1
15268,0,0,0,0,1,0,6,2019-04-13,2019,4,13,3,5,sp,0
15269,0,0,0,0,0,0,78,2019-04-13,2019,4,13,3,5,sp,0
15270,0,0,0,0,0,0,3,2019-04-14,2019,4,14,4,5,sp,0
15271,0,0,0,0,0,0,1,2019-04-14,2019,4,14,4,5,sp,0
15272,0,0,0,0,0,0,1,2019-04-14,2019,4,14,4,5,sp,0
15273,0,0,0,0,0,0,4,2019-04-14,2019,4,14,4,5,sp,0
15274,1,1,0,0,1,0,2,2019-04-14,2019,4,14,4,5,sp,0
15275,0,0,0,0,0,0,23,2019-04-14,2019,4,14,4,5,sp,0
15276,0,0,0,0,0,0,6,2019-04-14,2019,4,14,4,5,sp,0
15277,0,0,0,0,1,1,82,2019-04-14,2019,4,14,4,5,sp,0
15278,0,0,0,0,0,0,1,2019-04-14,2019,4,14,4,5,sp,0
15279,0,0,0,0,1,0,22,2019-04-14,2019,4,14,4,5,sp,0
15280,0,0,0,0,1,0,6,2019-04-14,2019,4,14,4,5,sp,0
15281,0,0,0,0,0,0,1,2019-04-14,2019,4,14,4,5,sp,0
15282,0,0,0,0,1,1,10,2019-04-15,2019,4,15,5,5,sp,0
15283,0,0,0,0,1,0,15,2019-04-15,2019,4,15,5,5,sp,0
15284,0,0,0,1,1,1,42,2019-04-15,2019,4,15,5,5,sp,0
15285,1,1,0,0,0,0,5,2019-04-15,2019,4,15,5,5,sp,0
15286,0,0,0,0,0,0,91,2019-04-15,2019,4,15,5,5,sp,0
15287,0,0,0,0,0,0,45,2019-04-15,2019,4,15,5,5,sp,0
15288,0,0,0,0,0,0,37,2019-04-15,2019,4,15,5,5,sp,0
15289,0,0,0,0,0,0,9,2019-04-15,2019,4,15,5,5,sp,0
15290,0,0,0,0,1,0,6,2019-04-15,2019,4,15,5,5,sp,0
15291,0,0,0,0,1,0,13,2019-04-15,2019,4,15,5,5,sp,1
15292,0,0,0,0,1,0,14,2019-04-15,2019,4,15,5,5,sp,0
15293,0,0,1,0,0,0,3,2019-04-25,2019,4,25,1,6,sp,0
15294,0,0,0,0,0,0,35,2019-04-25,2019,4,25,1,6,sp,0
15295,0,0,1,0,1,1,10,2019-04-25,2019,4,25,1,6,sp,0
15296,0,0,0,0,0,0,6,2019-04-25,2019,4,25,1,6,sp,0
15297,1,1,0,0,1,0,2,2019-04-25,2019,4,25,1,6,sp,0
15298,0,0,0,0,0,0,66,2019-04-25,2019,4,25,1,6,sp,0
15299,0,0,0,0,1,0,1,2019-04-25,2019,4,25,1,6,sp,0
15300,0,0,0,0,1,0,3,2019-04-25,2019,4,25,1,6,sp,0
15301,0,0,0,0,0,0,1,2019-04-25,2019,4,25,1,6,sp,0
15302,0,0,0,0,0,0,7,2019-04-25,2019,4,25,1,6,sp,0
15303,0,0,0,0,0,0,2,2019-04-25,2019,4,25,1,6,sp,0
15304,0,0,0,0,1,0,8,2019-04-25,2019,4,25,1,6,sp,0
15305,0,0,0,0,0,0,11,2019-04-26,2019,4,26,2,6,sp,0
15306,0,0,0,0,0,0,22,2019-04-26,2019,4,26,2,6,sp,0
15307,0,0,0,1,0,0,42,2019-04-26,2019,4,26,2,6,sp,0
15308,0,0,1,0,0,0,5,2019-04-26,2019,4,26,2,6,sp,1
15309,0,0,0,0,0,0,17,2019-04-26,2019,4,26,2,6,sp,0
15310,0,0,0,0,0,0,14,2019-04-26,2019,4,26,2,6,sp,0
15311,0,0,0,0,0,0,7,2019-04-26,2019,4,26,2,6,sp,0
15312,0,0,0,0,0,0,24,2019-04-26,2019,4,26,2,6,sp,0
15313,1,1,0,0,1,0,18,2019-04-26,2019,4,26,2,6,sp,0
15314,0,0,0,0,0,0,51,2019-04-26,2019,4,26,2,6,sp,0
15315,0,0,0,0,0,0,5,2019-04-26,2019,4,26,2,6,sp,0
15316,1,1,0,0,0,0,3,2019-04-27,2019,4,27,3,6,sp,1
15317,0,0,0,0,0,0,11,2019-04-27,2019,4,27,3,6,sp,0
15318,0,0,0,1,1,0,7,2019-04-27,2019,4,27,3,6,sp,1
15319,1,1,0,0,0,0,78,2019-04-27,2019,4,27,3,6,sp,0
15320,0,0,0,0,0,0,17,2019-04-27,2019,4,27,3,6,sp,0
15321,0,0,0,0,0,0,104,2019-04-27,2019,4,27,3,6,sp,0
15322,1,1,1,0,0,0,3,2019-04-27,2019,4,27,3,6,sp,1
15323,0,0,0,0,0,0,8,2019-04-27,2019,4,27,3,6,sp,0
15324,0,0,0,0,0,0,9,2019-04-27,2019,4,27,3,6,sp,0
15325,0,0,0,0,0,0,18,2019-04-27,2019,4,27,3,6,sp,0
15326,0,0,0,0,0,0,22,2019-04-28,2019,4,28,4,6,sp,0
15327,0,0,0,0,0,0,17,2019-04-28,2019,4,28,4,6,sp,0
15328,0,0,0,1,0,0,69,2019-04-28,2019,4,28,4,6,sp,0
15329,0,0,1,0,0,0,5,2019-04-28,2019,4,28,4,6,sp,1
15330,0,0,0,0,1,0,33,2019-04-28,2019,4,28,4,6,sp,0
15331,0,0,0,0,0,0,7,2019-04-28,2019,4,28,4,6,sp,0
15332,0,0,0,0,0,0,26,2019-04-28,2019,4,28,4,6,sp,0
15333,0,0,0,0,0,0,67,2019-04-28,2019,4,28,4,6,sp,0
15334,0,0,0,0,0,0,10,2019-04-28,2019,4,28,4,6,sp,0
15335,0,0,0,0,0,0,2,2019-04-28,2019,4,28,4,6,sp,0
15336,0,0,0,0,1,0,1,2019-04-28,2019,4,28,4,6,sp,0
15337,1,1,0,0,1,0,1,2019-04-29,2019,4,29,5,6,sp,0
15338,0,0,0,1,0,0,95,2019-04-29,2019,4,29,5,6,sp,0
15339,1,0,1,0,1,0,3,2019-04-29,2019,4,29,5,6,sp,1
15340,0,0,0,0,0,0,90,2019-04-29,2019,4,29,5,6,sp,0
15341,0,0,0,0,0,0,10,2019-04-29,2019,4,29,5,6,sp,0
15342,0,0,0,0,0,0,10,2019-04-29,2019,4,29,5,6,sp,0
15343,0,0,0,0,0,0,1,2019-04-29,2019,4,29,5,6,sp,0
15344,0,0,0,0,0,0,1,2019-04-29,2019,4,29,5,6,sp,0
15345,0,0,0,0,0,0,15,2019-04-29,2019,4,29,5,6,sp,0
15346,0,0,0,0,0,0,69,2019-04-30,2019,4,30,6,6,sp,0
15347,0,0,0,0,0,0,17,2019-04-30,2019,4,30,6,6,sp,0
15348,0,0,0,0,1,0,85,2019-04-30,2019,4,30,6,6,sp,0
15349,0,1,0,0,0,0,4,2019-04-30,2019,4,30,6,6,sp,1
15350,0,0,0,0,0,0,66,2019-04-30,2019,4,30,6,6,sp,0
15351,0,0,0,0,1,0,11,2019-04-30,2019,4,30,6,6,sp,0
15352,0,0,0,0,0,0,14,2019-04-30,2019,4,30,6,6,sp,0
15353,0,0,1,0,0,0,42,2019-04-30,2019,4,30,6,6,sp,0
15354,0,0,0,0,0,0,6,2019-04-30,2019,4,30,6,6,sp,0
15355,0,0,0,0,0,0,5,2019-04-30,2019,4,30,6,6,sp,0
15356,0,0,0,0,0,0,7,2019-04-30,2019,4,30,6,6,sp,0
15357,0,0,1,0,0,0,8,2019-05-04,2019,5,4,1,6,sp,0
15358,0,0,0,0,0,0,73,2019-05-04,2019,5,4,1,6,sp,0
15359,0,0,0,1,0,0,7,2019-05-04,2019,5,4,1,6,sp,1
15360,0,0,0,0,1,0,14,2019-05-04,2019,5,4,1,6,sp,0
15361,0,0,0,0,0,0,12,2019-05-04,2019,5,4,1,6,sp,0
15362,0,0,0,0,0,0,14,2019-05-04,2019,5,4,1,6,sp,0
15363,0,0,0,0,0,0,29,2019-05-04,2019,5,4,1,6,sp,0
15364,0,0,0,0,0,0,25,2019-05-04,2019,5,4,1,6,sp,0
15365,0,0,0,0,0,0,8,2019-05-04,2019,5,4,1,6,sp,0
15366,0,0,0,0,0,0,2,2019-05-04,2019,5,4,1,6,sp,0
15367,0,0,0,0,0,0,82,2019-05-04,2019,5,4,1,6,sp,0
15368,0,0,0,0,0,0,2,2019-05-04,2019,5,4,1,6,sp,0
15369,0,0,0,0,0,0,8,2019-05-05,2019,5,5,2,6,sp,0
15370,0,0,0,0,0,0,63,2019-05-05,2019,5,5,2,6,sp,0
15371,0,0,0,1,0,1,44,2019-05-05,2019,5,5,2,6,sp,0
15372,0,0,0,0,0,0,11,2019-05-05,2019,5,5,2,6,sp,0
15373,1,1,0,0,1,0,23,2019-05-05,2019,5,5,2,6,sp,0
15374,0,0,0,0,0,0,14,2019-05-05,2019,5,5,2,6,sp,0
