,money,number_race,racer_1_ID,racer_1_age,racer_1_ave_st,racer_1_bo,racer_1_doub,racer_1_male,racer_1_mo,racer_1_rank,racer_2_ID,racer_2_age,racer_2_ave_st,racer_2_bo,racer_2_doub,racer_2_male,racer_2_mo,racer_2_rank,racer_3_ID,racer_3_age,racer_3_ave_st,racer_3_bo,racer_3_doub,racer_3_male,racer_3_mo,racer_3_rank,racer_4_ID,racer_4_age,racer_4_ave_st,racer_4_bo,racer_4_doub,racer_4_male,racer_4_mo,racer_4_rank,racer_5_ID,racer_5_age,racer_5_ave_st,racer_5_bo,racer_5_doub,racer_5_male,racer_5_mo,racer_5_rank,racer_6_ID,racer_6_age,racer_6_ave_st,racer_6_bo,racer_6_doub,racer_6_male,racer_6_mo,racer_6_rank,result_com
,3510.0,1.0,3514.0,51.0,0.17,52.0,0.462,1,47.0,3,2568.0,68.0,0.19,48.0,0.156,1,72.0,2,4164.0,36.0,0.19,50.0,0.177,1,56.0,2,4196.0,36.0,0.17,38.0,0.382,1,63.0,3,3796.0,45.0,0.18,54.0,0.264,1,25.0,2,5019.0,19.0,0.19,34.0,0.026000000000000002,0,60.0,1,13.0
,1180.0,2.0,3505.0,47.0,0.14,28.0,0.38299999999999995,1,61.0,3,3335.0,49.0,0.2,56.0,0.195,1,14.0,2,3631.0,49.0,0.17,60.0,0.369,1,71.0,3,3036.0,60.0,0.17,39.0,0.21899999999999997,1,38.0,2,3778.0,43.0,0.21,57.0,0.212,0,53.0,2,3871.0,43.0,0.19,20.0,0.275,0,46.0,2,1.0
,17960.0,3.0,4302.0,35.0,0.19,22.0,0.34600000000000003,1,24.0,3,3485.0,47.0,0.21,29.0,0.192,1,23.0,2,4463.0,32.0,0.2,21.0,0.314,1,43.0,2,3867.0,43.0,0.17,45.0,0.20600000000000002,1,75.0,2,3589.0,45.0,0.16,31.0,0.46,1,44.0,4,4926.0,25.0,0.18,40.0,0.34,1,68.0,3,61.0
,590.0,4.0,4118.0,37.0,0.17,37.0,0.41100000000000003,1,70.0,3,3790.0,46.0,0.16,27.0,0.313,1,62.0,2,4305.0,35.0,0.14,49.0,0.42200000000000004,1,39.0,4,4521.0,31.0,0.17,25.0,0.359,1,37.0,2,4466.0,32.0,0.18,47.0,0.43,1,51.0,4,3460.0,51.0,0.18,24.0,0.299,1,77.0,2,6.0
,460.0,5.0,3489.0,51.0,0.16,55.0,0.49200000000000005,1,13.0,4,4004.0,40.0,0.18,44.0,0.38299999999999995,1,40.0,3,3936.0,41.0,0.19,53.0,0.266,1,55.0,2,3579.0,46.0,0.16,43.0,0.441,0,45.0,3,4510.0,29.0,0.22,19.0,0.153,0,49.0,1,5019.0,19.0,0.19,34.0,0.026000000000000002,0,60.0,1,2.0
,6780.0,6.0,3581.0,45.0,0.19,17.0,0.247,1,34.0,2,3932.0,42.0,0.16,46.0,0.23800000000000002,0,73.0,2,4545.0,30.0,0.14,41.0,0.531,1,59.0,4,3659.0,44.0,0.15,35.0,0.47600000000000003,1,50.0,4,3902.0,41.0,0.2,30.0,0.32,1,36.0,3,3335.0,49.0,0.2,56.0,0.195,1,14.0,2,9.0
,12540.0,7.0,4164.0,36.0,0.19,50.0,0.177,1,56.0,2,4870.0,26.0,0.17,51.0,0.19699999999999998,0,22.0,2,2992.0,57.0,0.15,26.0,0.405,1,29.0,4,4306.0,35.0,0.17,18.0,0.376,1,41.0,3,4651.0,34.0,0.15,23.0,0.237,1,15.0,2,4521.0,31.0,0.17,25.0,0.359,1,37.0,2,12.0
,1380.0,8.0,3501.0,49.0,0.14,36.0,0.324,1,65.0,2,3036.0,60.0,0.17,39.0,0.21899999999999997,1,38.0,2,3867.0,43.0,0.17,45.0,0.20600000000000002,1,75.0,2,2568.0,68.0,0.19,48.0,0.156,1,72.0,2,3790.0,46.0,0.16,27.0,0.313,1,62.0,2,4919.0,27.0,0.16,16.0,0.043,1,33.0,2,14.0
,2490.0,9.0,4600.0,34.0,0.15,32.0,0.353,1,69.0,3,3871.0,43.0,0.19,20.0,0.275,0,46.0,2,3796.0,45.0,0.18,54.0,0.264,1,25.0,2,4463.0,32.0,0.2,21.0,0.314,1,43.0,2,4112.0,38.0,0.19,33.0,0.344,1,57.0,3,3659.0,44.0,0.15,35.0,0.47600000000000003,1,50.0,4,16.0
,49020.0,10.0,4305.0,35.0,0.14,49.0,0.42200000000000004,1,39.0,4,3505.0,47.0,0.14,28.0,0.38299999999999995,1,61.0,3,4196.0,36.0,0.17,38.0,0.382,1,63.0,3,3489.0,51.0,0.16,55.0,0.49200000000000005,1,13.0,4,3581.0,45.0,0.19,17.0,0.247,1,34.0,2,3485.0,47.0,0.21,29.0,0.192,1,23.0,2,67.0
,740.0,11.0,4545.0,30.0,0.14,41.0,0.531,1,59.0,4,4118.0,37.0,0.17,37.0,0.41100000000000003,1,70.0,3,3579.0,46.0,0.16,43.0,0.441,0,45.0,3,3514.0,51.0,0.17,52.0,0.462,1,47.0,3,4004.0,40.0,0.18,44.0,0.38299999999999995,1,40.0,3,4870.0,26.0,0.17,51.0,0.19699999999999998,0,22.0,2,1.0
,580.0,12.0,2992.0,57.0,0.15,26.0,0.405,1,29.0,4,3902.0,41.0,0.2,30.0,0.32,1,36.0,3,4302.0,35.0,0.19,22.0,0.34600000000000003,1,24.0,3,3936.0,41.0,0.19,53.0,0.266,1,55.0,2,3501.0,49.0,0.14,36.0,0.324,1,65.0,2,4600.0,34.0,0.15,32.0,0.353,1,69.0,3,5.0
,2470.0,1.0,4112.0,38.0,0.19,33.0,0.344,1,57.0,3,3936.0,41.0,0.19,53.0,0.266,1,55.0,2,4651.0,34.0,0.15,23.0,0.237,1,15.0,2,3335.0,49.0,0.2,56.0,0.195,1,14.0,2,3867.0,43.0,0.17,45.0,0.20600000000000002,1,75.0,2,4919.0,27.0,0.16,16.0,0.043,1,33.0,2,6.0
,460.0,2.0,3485.0,47.0,0.21,29.0,0.192,1,23.0,2,3659.0,44.0,0.15,35.0,0.47600000000000003,1,50.0,4,3796.0,45.0,0.18,54.0,0.264,1,25.0,2,3036.0,60.0,0.17,39.0,0.21899999999999997,1,38.0,2,4164.0,36.0,0.19,50.0,0.177,1,56.0,2,4926.0,25.0,0.18,40.0,0.34,1,68.0,3,1.0
,710.0,3.0,3579.0,46.0,0.16,43.0,0.441,0,45.0,3,3871.0,43.0,0.19,20.0,0.275,0,46.0,2,4870.0,26.0,0.17,51.0,0.19699999999999998,0,22.0,2,3778.0,43.0,0.21,57.0,0.212,0,53.0,2,3932.0,42.0,0.16,46.0,0.23800000000000002,0,73.0,2,5019.0,19.0,0.19,34.0,0.026000000000000002,0,60.0,1,1.0
