,money,number_race,racer_1_ID,racer_1_age,racer_1_ave_st,racer_1_bo,racer_1_doub,racer_1_male,racer_1_mo,racer_1_rank,racer_2_ID,racer_2_age,racer_2_ave_st,racer_2_bo,racer_2_doub,racer_2_male,racer_2_mo,racer_2_rank,racer_3_ID,racer_3_age,racer_3_ave_st,racer_3_bo,racer_3_doub,racer_3_male,racer_3_mo,racer_3_rank,racer_4_ID,racer_4_age,racer_4_ave_st,racer_4_bo,racer_4_doub,racer_4_male,racer_4_mo,racer_4_rank,racer_5_ID,racer_5_age,racer_5_ave_st,racer_5_bo,racer_5_doub,racer_5_male,racer_5_mo,racer_5_rank,racer_6_ID,racer_6_age,racer_6_ave_st,racer_6_bo,racer_6_doub,racer_6_male,racer_6_mo,racer_6_rank,result_com
,870.0,1.0,3745.0,42.0,0.16,65.0,0.424,1,41.0,3,3652.0,43.0,0.19,17.0,0.19399999999999998,1,65.0,2,3949.0,40.0,0.17,28.0,0.215,1,53.0,2,4226.0,34.0,0.18,27.0,0.32,1,56.0,2,4769.0,24.0,0.11,20.0,0.36,1,51.0,3,4781.0,30.0,0.28,19.0,0.024,0,33.0,1,2.0
,6240.0,2.0,3381.0,48.0,0.15,56.0,0.444,1,39.0,3,4539.0,26.0,0.15,60.0,0.39799999999999996,1,12.0,2,4124.0,34.0,0.21,49.0,0.228,1,58.0,2,3711.0,42.0,0.19,16.0,0.382,1,35.0,3,4336.0,32.0,0.17,47.0,0.322,1,43.0,2,3750.0,46.0,0.2,29.0,0.11900000000000001,1,72.0,2,29.0
,36140.0,3.0,3944.0,37.0,0.18,11.0,0.514,1,15.0,4,4363.0,31.0,0.16,46.0,0.32899999999999996,1,37.0,2,3681.0,43.0,0.16,33.0,0.37799999999999995,1,16.0,3,4772.0,23.0,0.17,52.0,0.2,1,63.0,2,4453.0,29.0,0.17,68.0,0.183,1,38.0,2,3857.0,43.0,0.17,58.0,0.366,1,70.0,1,68.0
,31900.0,4.0,3966.0,37.0,0.2,22.0,0.522,1,60.0,4,4488.0,30.0,0.18,45.0,0.33299999999999996,1,19.0,3,3617.0,43.0,0.2,54.0,0.20199999999999999,1,62.0,2,4817.0,25.0,0.13,66.0,0.409,1,52.0,3,4603.0,28.0,0.15,67.0,0.265,1,46.0,2,4760.0,27.0,0.14,53.0,0.45899999999999996,1,54.0,4,78.0
,2560.0,5.0,4045.0,37.0,0.16,32.0,0.425,0,25.0,3,4510.0,27.0,0.22,13.0,0.18899999999999997,0,20.0,2,4484.0,26.0,0.19,42.0,0.225,0,57.0,2,3704.0,43.0,0.18,57.0,0.258,0,21.0,2,4781.0,30.0,0.28,19.0,0.024,0,33.0,1,4678.0,28.0,0.17,64.0,0.24100000000000002,0,49.0,2,5.0
,2790.0,6.0,4812.0,27.0,0.14,40.0,0.49,1,47.0,3,3577.0,44.0,0.14,35.0,0.439,1,34.0,3,4226.0,34.0,0.18,27.0,0.32,1,56.0,2,4336.0,32.0,0.17,47.0,0.322,1,43.0,2,3766.0,43.0,0.23,62.0,0.042,0,42.0,1,4260.0,32.0,0.17,15.0,0.389,1,73.0,3,4.0
,5500.0,7.0,3652.0,43.0,0.19,17.0,0.19399999999999998,1,65.0,2,3286.0,48.0,0.17,51.0,0.302,1,22.0,2,4006.0,38.0,0.21,50.0,0.439,1,36.0,3,4449.0,29.0,0.16,61.0,0.18100000000000002,1,67.0,2,3857.0,43.0,0.17,58.0,0.366,1,70.0,1,2380.0,66.0,0.2,44.0,0.166,1,59.0,2,92.0
,2340.0,8.0,3186.0,56.0,0.19,37.0,0.284,1,75.0,2,3745.0,42.0,0.16,65.0,0.424,1,41.0,3,4603.0,28.0,0.15,67.0,0.265,1,46.0,2,4539.0,26.0,0.15,60.0,0.39799999999999996,1,12.0,2,4874.0,22.0,0.2,63.0,0.03,0,17.0,2,4136.0,36.0,0.17,69.0,0.621,1,28.0,4,17.0
,3560.0,9.0,4124.0,34.0,0.21,49.0,0.228,1,58.0,2,4425.0,31.0,0.23,43.0,0.18600000000000003,1,23.0,2,4122.0,35.0,0.17,24.0,0.376,1,13.0,3,4488.0,30.0,0.18,45.0,0.33299999999999996,1,19.0,3,4074.0,35.0,0.14,23.0,0.561,1,50.0,4,4484.0,26.0,0.19,42.0,0.225,0,57.0,2,63.0
,2380.0,11.0,3286.0,48.0,0.17,51.0,0.302,1,22.0,2,3381.0,48.0,0.15,56.0,0.444,1,39.0,3,4045.0,37.0,0.16,32.0,0.425,0,25.0,3,3617.0,43.0,0.2,54.0,0.20199999999999999,1,62.0,2,4260.0,32.0,0.17,15.0,0.389,1,73.0,3,4644.0,37.0,0.17,18.0,0.363,1,11.0,2,33.0
