,date,money,number_race,racer_1_ID,racer_1_age,racer_1_ave_st,racer_1_bo,racer_1_doub,racer_1_male,racer_1_mo,racer_1_rank,racer_2_ID,racer_2_age,racer_2_ave_st,racer_2_bo,racer_2_doub,racer_2_male,racer_2_mo,racer_2_rank,racer_3_ID,racer_3_age,racer_3_ave_st,racer_3_bo,racer_3_doub,racer_3_male,racer_3_mo,racer_3_rank,racer_4_ID,racer_4_age,racer_4_ave_st,racer_4_bo,racer_4_doub,racer_4_male,racer_4_mo,racer_4_rank,racer_5_ID,racer_5_age,racer_5_ave_st,racer_5_bo,racer_5_doub,racer_5_male,racer_5_mo,racer_5_rank,racer_6_ID,racer_6_age,racer_6_ave_st,racer_6_bo,racer_6_doub,racer_6_male,racer_6_mo,racer_6_rank,result_com
,2015-04-09,1250.0,1,4046,36.0,0.19,61.0,0.129,1,34.0,2,4360,31.0,0.18,56.0,0.265,1,51.0,2,3277,49.0,0.17,4.0,0.3,1,91.0,2,4647,33.0,0.31,9.0,0.0,1,37.0,1,4343,31.0,0.19,66.0,0.275,1,92.0,2,4832,29.0,0.13,62.0,0.21899999999999997,1,89.0,2,21
,2015-04-09,3050.0,2,2842,59.0,0.18,13.0,0.21,1,72.0,2,4435,29.0,0.18,55.0,0.41100000000000003,1,27.0,3,4287,31.0,0.14,79.0,0.61,1,65.0,4,4652,30.0,0.2,76.0,0.166,1,22.0,2,4798,22.0,0.18,39.0,0.076,1,25.0,1,4430,30.0,0.15,16.0,0.44799999999999995,1,17.0,3,38
,2015-04-09,2740.0,3,2785,61.0,0.18,64.0,0.304,1,57.0,2,4389,30.0,0.17,68.0,0.252,1,63.0,2,3918,41.0,0.15,19.0,0.485,1,76.0,4,3475,45.0,0.16,80.0,0.45899999999999996,1,33.0,4,4833,28.0,0.19,63.0,0.0,1,78.0,1,3919,41.0,0.21,69.0,0.51,1,94.0,4,41
,2015-04-09,780.0,4,3686,40.0,0.14,70.0,0.446,1,38.0,3,4161,34.0,0.19,73.0,0.223,1,75.0,2,4514,26.0,0.19,58.0,0.307,1,73.0,2,3887,41.0,0.14,8.0,0.586,1,93.0,3,3852,43.0,0.16,51.0,0.324,1,20.0,3,4219,34.0,0.18,75.0,0.276,1,30.0,2,10
,2015-04-09,820.0,5,3079,52.0,0.19,34.0,0.42200000000000004,1,83.0,3,4016,36.0,0.18,72.0,0.353,1,80.0,3,4180,32.0,0.18,71.0,0.218,1,90.0,2,3826,42.0,0.18,50.0,0.5579999999999999,1,24.0,4,4751,28.0,0.16,1.0,0.032,1,86.0,1,3552,43.0,0.17,77.0,0.319,1,74.0,2,2
,2015-04-09,1110.0,6,4397,29.0,0.16,57.0,0.527,1,82.0,4,4532,27.0,0.16,59.0,0.48700000000000004,1,79.0,4,4360,31.0,0.18,56.0,0.265,1,51.0,2,4137,35.0,0.16,74.0,0.46399999999999997,1,60.0,4,3605,44.0,0.19,12.0,0.40299999999999997,1,88.0,3,4287,31.0,0.14,79.0,0.61,1,65.0,4,1
,2015-04-09,1660.0,7,2781,61.0,0.2,15.0,0.071,1,71.0,1,3081,52.0,0.16,35.0,0.425,1,32.0,3,3475,45.0,0.16,80.0,0.45899999999999996,1,33.0,4,3880,42.0,0.18,22.0,0.257,1,69.0,2,4136,35.0,0.17,67.0,0.532,1,35.0,4,4798,22.0,0.18,39.0,0.076,1,25.0,1,33
,2015-04-09,700.0,8,4435,29.0,0.18,55.0,0.41100000000000003,1,27.0,3,3877,38.0,0.16,17.0,0.32299999999999995,1,12.0,3,4219,34.0,0.18,75.0,0.276,1,30.0,2,4833,28.0,0.19,63.0,0.0,1,78.0,1,4320,30.0,0.13,65.0,0.7140000000000001,1,70.0,4,4538,25.0,0.15,2.0,0.355,1,31.0,2,84
,2015-04-09,630.0,9,4389,30.0,0.17,68.0,0.252,1,63.0,2,3339,50.0,0.17,11.0,0.258,1,87.0,2,4144,34.0,0.18,36.0,0.444,1,39.0,4,3859,42.0,0.19,28.0,0.17,1,36.0,2,4180,32.0,0.18,71.0,0.218,1,90.0,2,3852,43.0,0.16,51.0,0.324,1,20.0,3,7
,2015-04-09,770.0,10,4137,35.0,0.16,74.0,0.46399999999999997,1,60.0,4,3409,46.0,0.18,60.0,0.255,1,77.0,2,3552,43.0,0.17,77.0,0.319,1,74.0,2,4062,36.0,0.16,78.0,0.375,1,28.0,3,3711,41.0,0.16,26.0,0.39799999999999996,1,29.0,3,4343,31.0,0.19,66.0,0.275,1,92.0,2,2
,2015-04-09,1490.0,11,3081,52.0,0.16,35.0,0.425,1,32.0,3,3686,40.0,0.14,70.0,0.446,1,38.0,3,4016,36.0,0.18,72.0,0.353,1,80.0,3,4532,27.0,0.16,59.0,0.48700000000000004,1,79.0,4,4430,30.0,0.15,16.0,0.44799999999999995,1,17.0,3,3918,41.0,0.15,19.0,0.485,1,76.0,4,10
,2015-04-09,4610.0,12,3887,41.0,0.14,8.0,0.586,1,93.0,3,3826,42.0,0.18,50.0,0.5579999999999999,1,24.0,4,4320,30.0,0.13,65.0,0.7140000000000001,1,70.0,4,4397,29.0,0.16,57.0,0.527,1,82.0,4,3919,41.0,0.21,69.0,0.51,1,94.0,4,4136,35.0,0.17,67.0,0.532,1,35.0,4,4
,2015-04-10,15170.0,1,4514,26.0,0.19,58.0,0.307,1,73.0,2,4652,30.0,0.2,76.0,0.166,1,22.0,2,4046,36.0,0.19,61.0,0.129,1,34.0,2,4751,28.0,0.16,1.0,0.032,1,86.0,1,4161,34.0,0.19,73.0,0.223,1,75.0,2,3859,42.0,0.19,28.0,0.17,1,36.0,2,117
,2015-04-10,3810.0,2,3552,43.0,0.17,77.0,0.319,1,74.0,2,3079,52.0,0.19,34.0,0.42200000000000004,1,83.0,3,3339,50.0,0.17,11.0,0.258,1,87.0,2,4144,34.0,0.18,36.0,0.444,1,39.0,4,2781,61.0,0.2,15.0,0.071,1,71.0,1,4833,28.0,0.19,63.0,0.0,1,78.0,1,31
