,date,result_com,number_race,racer_1_ID,racer_2_ID,racer_3_ID,racer_4_ID,racer_5_ID,racer_6_ID,money,racer_1_b,racer_1_m,racer_2_b,racer_2_m,racer_3_b,racer_3_m,racer_4_b,racer_4_m,racer_5_b,racer_5_m,racer_6_b,racer_6_m
,2019-04-01,7,2,4501,4924,3357,3845,4984,3604,5780.0,19.0,72.0,4.0,24.0,8.0,70.0,43.0,67.0,7.0,56.0,49.0,11.0
,2019-04-01,5,3,3302,4670,4885,4993,3334,3943,790.0,17.0,15.0,44.0,37.0,34.0,74.0,24.0,46.0,55.0,60.0,31.0,23.0
,2019-04-01,6,4,4050,3142,4347,4183,4938,4947,390.0,13.0,68.0,54.0,25.0,56.0,38.0,35.0,42.0,50.0,14.0,65.0,41.0
,2019-04-01,31,5,4373,4117,4694,3932,4065,5057,3060.0,51.0,44.0,39.0,21.0,30.0,29.0,2.0,53.0,48.0,30.0,1.0,20.0
,2019-04-01,1,6,4419,3674,4447,3357,4806,3900,1360.0,63.0,50.0,33.0,51.0,3.0,69.0,8.0,70.0,21.0,54.0,14.0,57.0
,2019-04-01,21,7,3177,3604,3580,3943,4893,4744,3200.0,6.0,71.0,49.0,11.0,25.0,17.0,31.0,23.0,32.0,27.0,20.0,58.0
,2019-04-01,67,8,3801,3474,4929,3188,4924,4993,4750.0,45.0,39.0,38.0,47.0,59.0,34.0,42.0,52.0,4.0,24.0,24.0,46.0
,2019-04-01,1,10,4347,4447,4501,4670,4373,4961,560.0,56.0,38.0,3.0,69.0,19.0,72.0,44.0,37.0,51.0,44.0,12.0,75.0
,2019-04-01,58,11,3334,3932,4183,3801,3674,4893,68240.0,55.0,60.0,2.0,53.0,35.0,42.0,45.0,39.0,33.0,51.0,32.0,27.0
,2019-04-01,9,12,4885,3845,3188,4050,4304,4117,2370.0,34.0,74.0,43.0,67.0,42.0,52.0,13.0,68.0,27.0,64.0,39.0,21.0
,2019-04-02,20,1,4117,4419,3604,3142,3580,4694,8120.0,39.0,21.0,63.0,50.0,49.0,11.0,54.0,25.0,25.0,17.0,30.0,29.0
,2019-04-02,44,2,4447,4744,3474,4885,5057,4938,6310.0,3.0,69.0,20.0,58.0,38.0,47.0,34.0,74.0,1.0,20.0,50.0,14.0
,2019-04-02,42,3,3900,3177,3845,4984,4183,4929,5710.0,14.0,57.0,6.0,71.0,43.0,67.0,7.0,56.0,35.0,42.0,59.0,34.0
,2019-04-02,14,4,3188,4714,4993,4373,4901,4670,5520.0,42.0,52.0,61.0,65.0,24.0,46.0,51.0,44.0,18.0,35.0,44.0,37.0
,2019-04-02,36,5,4893,4050,4947,4419,3801,4501,1410.0,32.0,27.0,13.0,68.0,65.0,41.0,63.0,50.0,45.0,39.0,19.0,72.0
,2019-04-02,47,6,3357,3334,3302,4065,3474,4304,8110.0,8.0,70.0,55.0,60.0,17.0,15.0,48.0,30.0,38.0,47.0,27.0,64.0
,2019-04-02,29,7,3142,4347,4924,4961,4929,5057,850.0,54.0,25.0,56.0,38.0,4.0,24.0,12.0,75.0,59.0,34.0,1.0,20.0
,2019-04-02,6,8,3674,3943,4373,3604,4885,4984,3140.0,33.0,51.0,31.0,23.0,51.0,44.0,49.0,11.0,34.0,74.0,7.0,56.0
,2019-04-02,29,9,4744,3302,4806,4901,4050,3177,2940.0,20.0,58.0,17.0,15.0,21.0,54.0,18.0,35.0,13.0,68.0,6.0,71.0
,2019-04-02,1,10,3580,3188,3900,3334,4947,3932,730.0,25.0,17.0,42.0,52.0,14.0,57.0,55.0,60.0,65.0,41.0,2.0,53.0
,2019-04-02,42,11,4183,4938,4117,4501,4961,4065,2070.0,35.0,42.0,50.0,14.0,39.0,21.0,19.0,72.0,12.0,75.0,48.0,30.0
,2019-04-02,9,12,3845,4694,3801,3674,4447,4347,2260.0,43.0,67.0,30.0,29.0,45.0,39.0,33.0,51.0,3.0,69.0,56.0,38.0
,2019-04-03,3,1,4501,3357,4744,3177,4670,4929,750.0,19.0,72.0,8.0,70.0,20.0,58.0,6.0,71.0,44.0,37.0,59.0,34.0
,2019-04-03,9,2,3334,4961,4893,3188,4694,5057,880.0,55.0,60.0,12.0,75.0,32.0,27.0,42.0,52.0,30.0,29.0,1.0,20.0
,2019-04-03,51,3,4373,4714,4050,4924,3302,3474,6100.0,51.0,44.0,61.0,65.0,13.0,68.0,4.0,24.0,17.0,15.0,38.0,47.0
,2019-04-03,22,4,3900,3801,3943,4117,4993,4984,1560.0,14.0,57.0,45.0,39.0,31.0,23.0,39.0,21.0,24.0,46.0,7.0,56.0
,2019-04-03,21,5,4670,4885,3142,4901,4419,4304,3490.0,44.0,37.0,34.0,74.0,54.0,25.0,18.0,35.0,63.0,50.0,27.0,64.0
,2019-04-03,2,6,4961,3580,3845,4947,3177,4447,8000.0,12.0,75.0,25.0,17.0,43.0,67.0,65.0,41.0,6.0,71.0,3.0,69.0
,2019-04-03,6,7,3604,4806,4938,4694,4744,4714,730.0,49.0,11.0,21.0,54.0,50.0,14.0,30.0,29.0,20.0,58.0,61.0,65.0
,2019-04-03,107,8,3302,4117,3932,4929,5057,3674,47860.0,17.0,15.0,39.0,21.0,2.0,53.0,59.0,34.0,1.0,20.0,33.0,51.0
,2019-04-03,27,9,3943,4183,4347,3474,3845,3142,950.0,31.0,23.0,35.0,42.0,56.0,38.0,38.0,47.0,43.0,67.0,54.0,25.0
,2019-04-03,5,10,4065,4893,4885,4447,4924,3357,1350.0,48.0,30.0,32.0,27.0,34.0,74.0,3.0,69.0,4.0,24.0,8.0,70.0
,2019-04-03,5,11,3188,4901,4501,4938,3932,3801,720.0,42.0,52.0,18.0,35.0,19.0,72.0,50.0,14.0,2.0,53.0,45.0,39.0
,2019-04-03,9,12,4050,3674,4419,3900,3604,4183,980.0,13.0,68.0,33.0,51.0,63.0,50.0,14.0,57.0,49.0,11.0,35.0,42.0
,2019-04-04,5,1,4183,3177,3932,4419,3357,5057,730.0,35.0,42.0,6.0,71.0,2.0,53.0,63.0,50.0,8.0,70.0,1.0,20.0
