,date,result_com,number_race,racer_1_ID,racer_2_ID,racer_3_ID,racer_4_ID,racer_5_ID,racer_6_ID,money,racer_1_b,racer_1_m,racer_2_b,racer_2_m,racer_3_b,racer_3_m,racer_4_b,racer_4_m,racer_5_b,racer_5_m,racer_6_b,racer_6_m
,2017-04-01,6,1,4065,4525,4473,4546,2995,4585,1840.0,59.0,57.0,60.0,56.0,5.0,12.0,43.0,59.0,32.0,19.0,31.0,37.0
,2017-04-01,53,3,4478,4806,3334,4569,3435,4893,930.0,47.0,49.0,38.0,41.0,49.0,48.0,21.0,39.0,35.0,45.0,19.0,15.0
,2017-04-01,4,5,4183,3188,4689,4525,4891,4927,2510.0,39.0,13.0,16.0,38.0,1.0,20.0,60.0,56.0,13.0,64.0,20.0,21.0
,2017-04-01,46,6,2995,4611,3232,3801,3943,4283,840.0,32.0,19.0,52.0,28.0,46.0,68.0,11.0,33.0,56.0,11.0,48.0,24.0
,2017-04-01,29,8,4117,4473,4400,3302,4893,4841,2230.0,40.0,66.0,5.0,12.0,15.0,58.0,36.0,34.0,19.0,15.0,4.0,40.0
,2017-04-01,65,9,3317,3435,4849,4065,4929,4891,1120.0,51.0,70.0,35.0,45.0,55.0,43.0,59.0,57.0,33.0,65.0,13.0,64.0
,2017-04-01,1,10,3801,4045,4546,4689,4286,4569,730.0,11.0,33.0,9.0,26.0,43.0,59.0,1.0,20.0,45.0,35.0,21.0,39.0
,2017-04-01,12,11,3232,4373,4738,4183,4478,4746,1160.0,46.0,68.0,57.0,31.0,26.0,25.0,39.0,13.0,47.0,49.0,18.0,42.0
,2017-04-01,8,12,3188,4050,3302,3334,3470,4611,6520.0,16.0,38.0,2.0,50.0,36.0,34.0,49.0,48.0,29.0,14.0,52.0,28.0
,2017-04-02,9,1,4045,3943,4781,4283,4947,4806,640.0,9.0,26.0,56.0,11.0,28.0,27.0,48.0,24.0,24.0,62.0,38.0,41.0
,2017-04-02,54,2,4611,4849,3317,3232,3207,4738,63660.0,52.0,28.0,55.0,43.0,51.0,70.0,46.0,68.0,41.0,55.0,26.0,25.0
,2017-04-02,43,3,4746,4400,4050,4770,3188,4473,1160.0,18.0,42.0,15.0,58.0,2.0,50.0,27.0,69.0,16.0,38.0,5.0,12.0
,2017-04-02,43,4,3334,4841,3470,4286,4936,4929,3920.0,49.0,48.0,4.0,40.0,29.0,14.0,45.0,35.0,10.0,60.0,33.0,65.0
,2017-04-02,26,6,4569,4065,4478,4726,4781,4722,590.0,21.0,39.0,59.0,57.0,47.0,49.0,23.0,30.0,28.0,27.0,3.0,63.0
,2017-04-02,1,7,4689,4183,2995,4893,4849,4947,1020.0,1.0,20.0,39.0,13.0,32.0,19.0,19.0,15.0,55.0,43.0,24.0,62.0
,2017-04-02,41,8,4546,3470,3801,4891,3317,4936,2550.0,43.0,59.0,29.0,14.0,11.0,33.0,13.0,64.0,51.0,70.0,10.0,60.0
,2017-04-02,68,9,3207,3334,4117,3435,4770,4286,2730.0,41.0,55.0,49.0,48.0,40.0,66.0,35.0,45.0,27.0,69.0,45.0,35.0
,2017-04-02,46,10,4726,3188,4525,4611,4373,4400,8430.0,23.0,30.0,16.0,38.0,60.0,56.0,52.0,28.0,57.0,31.0,15.0,67.0
,2017-04-02,42,11,3302,4738,4746,4050,4927,3943,2390.0,36.0,34.0,26.0,25.0,18.0,42.0,2.0,50.0,20.0,21.0,56.0,11.0
,2017-04-02,27,12,3435,3232,4065,4045,4183,4478,15330.0,35.0,45.0,46.0,68.0,59.0,57.0,9.0,26.0,39.0,13.0,47.0,49.0
,2017-04-03,9,1,4050,4569,4585,4117,4738,4546,1940.0,2.0,50.0,21.0,39.0,31.0,37.0,40.0,66.0,26.0,25.0,43.0,59.0
,2017-04-03,65,2,3317,4689,4841,3232,4929,4893,1060.0,51.0,70.0,1.0,20.0,4.0,40.0,46.0,68.0,33.0,65.0,19.0,15.0
,2017-04-03,41,3,4286,2995,4611,4849,4065,4525,4690.0,45.0,35.0,32.0,19.0,52.0,28.0,55.0,43.0,59.0,57.0,60.0,56.0
,2017-04-03,2,4,3188,4283,4781,4746,4891,4936,570.0,16.0,38.0,48.0,24.0,28.0,27.0,18.0,42.0,13.0,64.0,10.0,60.0
,2017-04-03,41,5,4045,3435,3470,4947,4569,4722,1760.0,9.0,26.0,35.0,45.0,29.0,14.0,24.0,62.0,21.0,39.0,3.0,44.0
,2017-04-03,27,6,4400,3801,3207,3302,3334,4806,2590.0,15.0,67.0,11.0,33.0,41.0,55.0,36.0,34.0,49.0,48.0,38.0,41.0
,2017-04-03,37,7,4478,4546,4770,4473,4927,4849,41750.0,47.0,49.0,43.0,59.0,27.0,69.0,5.0,12.0,20.0,21.0,55.0,43.0
,2017-04-03,43,8,4746,4585,4183,4891,4841,4929,1270.0,18.0,42.0,31.0,37.0,39.0,13.0,13.0,64.0,4.0,40.0,33.0,65.0
,2017-04-03,58,9,3943,4045,3188,2995,4893,4117,2760.0,56.0,11.0,9.0,26.0,16.0,38.0,32.0,19.0,19.0,15.0,40.0,66.0
,2017-04-03,63,10,3302,4286,4478,3435,4525,4726,2020.0,36.0,34.0,45.0,35.0,47.0,49.0,35.0,45.0,60.0,56.0,23.0,30.0
,2017-04-03,1,11,4183,3470,4473,4050,3317,4689,1860.0,39.0,13.0,29.0,14.0,5.0,12.0,2.0,50.0,51.0,70.0,1.0,20.0
,2017-04-03,19,12,4065,3334,3232,4373,4611,3801,19550.0,59.0,57.0,49.0,48.0,46.0,68.0,57.0,31.0,52.0,28.0,11.0,33.0
,2017-04-04,6,1,3334,4525,4546,3943,4722,4929,870.0,49.0,48.0,60.0,56.0,43.0,59.0,56.0,11.0,3.0,44.0,33.0,65.0
,2017-04-04,13,2,4611,4585,4770,3302,4283,4947,3830.0,52.0,28.0,31.0,37.0,27.0,69.0,36.0,34.0,48.0,24.0,24.0,62.0
,2017-04-04,10,3,3470,4781,4065,4738,4045,4936,2690.0,29.0,14.0,28.0,27.0,59.0,57.0,26.0,25.0,9.0,26.0,10.0,60.0
,2017-04-04,1,4,3435,3207,4183,4893,4927,4806,710.0,35.0,45.0,41.0,55.0,39.0,13.0,19.0,15.0,20.0,21.0,38.0,41.0
,2017-04-04,21,5,4726,3188,4569,4841,4400,4891,550.0,23.0,30.0,16.0,38.0,21.0,39.0,4.0,40.0,15.0,67.0,13.0,64.0
,2017-04-04,66,6,4283,3232,4689,4050,4478,4722,2730.0,48.0,24.0,46.0,68.0,1.0,20.0,2.0,50.0,47.0,49.0,3.0,44.0
,2017-04-04,42,7,4525,3317,3801,4373,4936,4770,910.0,60.0,56.0,51.0,70.0,11.0,33.0,57.0,31.0,10.0,60.0,27.0,69.0
,2017-04-04,59,8,4473,3943,4286,3470,4947,4849,9400.0,5.0,12.0,56.0,11.0,45.0,35.0,29.0,14.0,24.0,62.0,55.0,43.0
,2017-04-04,2,11,3801,4050,3435,4726,4546,4045,2760.0,11.0,33.0,2.0,50.0,35.0,45.0,23.0,30.0,43.0,59.0,9.0,26.0
,2017-04-04,8,12,3232,4738,3302,4473,4183,4373,1900.0,46.0,68.0,26.0,25.0,36.0,34.0,5.0,12.0,39.0,13.0,57.0,31.0
,2017-04-05,2,1,3435,4525,4841,4689,4806,4936,280.0,35.0,45.0,60.0,56.0,4.0,52.0,1.0,20.0,38.0,41.0,10.0,60.0
,2017-04-05,15,2,4183,4585,4117,4065,4569,4891,4050.0,39.0,13.0,31.0,37.0,40.0,66.0,59.0,57.0,21.0,39.0,13.0,64.0
,2017-04-05,1,3,3334,4849,3188,4893,4746,4929,3110.0,49.0,48.0,55.0,43.0,16.0,38.0,19.0,15.0,18.0,42.0,33.0,65.0
,2017-04-05,4,4,3232,3801,2995,4473,4722,4927,2140.0,46.0,68.0,11.0,33.0,32.0,19.0,5.0,12.0,3.0,44.0,20.0,21.0
,2017-04-05,7,5,4050,3317,4400,3943,4478,4947,1960.0,2.0,50.0,51.0,70.0,15.0,67.0,56.0,11.0,47.0,49.0,24.0,62.0
,2017-04-05,9,7,3470,4569,4373,4738,4893,3207,1570.0,29.0,14.0,21.0,39.0,57.0,31.0,26.0,25.0,19.0,15.0,41.0,55.0
,2017-04-05,14,8,3302,4726,4849,4283,4117,2995,2450.0,36.0,34.0,23.0,30.0,55.0,43.0,48.0,24.0,40.0,66.0,32.0,19.0
,2017-04-05,9,9,4611,4841,4473,4478,4929,4585,1610.0,52.0,28.0,4.0,52.0,5.0,12.0,47.0,49.0,33.0,65.0,31.0,37.0
,2017-04-05,22,10,3801,4050,3470,4045,3334,4689,1860.0,11.0,33.0,2.0,50.0,29.0,14.0,9.0,26.0,49.0,48.0,1.0,20.0
,2017-04-05,68,11,4065,3232,4746,3302,3317,4525,25300.0,59.0,57.0,46.0,68.0,18.0,42.0,36.0,34.0,51.0,70.0,60.0,56.0
,2017-04-05,4,12,3188,4183,3435,4611,4546,4373,3320.0,16.0,38.0,39.0,13.0,35.0,45.0,52.0,28.0,43.0,59.0,57.0,31.0
,2017-04-06,1,1,4065,4585,4283,4927,4893,4947,450.0,59.0,57.0,31.0,37.0,48.0,24.0,20.0,21.0,19.0,15.0,24.0,62.0
,2017-04-06,49,3,4611,4738,4726,4400,4373,4936,23580.0,52.0,28.0,26.0,25.0,23.0,30.0,15.0,67.0,57.0,31.0,10.0,60.0
,2017-04-06,1,4,3435,4117,4478,4689,4929,4770,410.0,35.0,45.0,40.0,66.0,47.0,49.0,1.0,20.0,33.0,65.0,27.0,69.0
,2017-04-06,2,5,3470,4286,4841,4473,4927,4806,360.0,29.0,14.0,45.0,35.0,4.0,52.0,5.0,12.0,20.0,21.0,38.0,41.0
,2017-04-06,45,6,4546,4045,2995,4585,4947,3207,12360.0,43.0,59.0,9.0,26.0,32.0,19.0,31.0,37.0,24.0,17.0,41.0,55.0
,2017-04-06,14,7,4746,4283,3943,4722,4936,4893,9840.0,18.0,42.0,48.0,24.0,56.0,11.0,3.0,44.0,10.0,60.0,19.0,15.0
,2017-04-06,83,8,3317,4400,4849,4569,4770,4929,45750.0,51.0,70.0,15.0,67.0,55.0,43.0,21.0,39.0,27.0,69.0,33.0,65.0
,2017-04-06,24,9,4286,4478,4117,4738,4473,4726,7270.0,45.0,35.0,47.0,49.0,40.0,66.0,26.0,25.0,5.0,12.0,23.0,30.0
,2017-04-06,65,10,4373,4065,4689,4746,3435,3334,13230.0,57.0,31.0,59.0,57.0,1.0,20.0,18.0,42.0,35.0,45.0,49.0,48.0
,2017-04-06,5,11,4045,4525,4546,3470,4611,3317,3350.0,9.0,26.0,60.0,56.0,43.0,59.0,29.0,14.0,52.0,28.0,51.0,70.0
,2017-04-06,74,12,3188,4050,3302,3801,3232,4183,10820.0,16.0,38.0,2.0,50.0,36.0,34.0,11.0,33.0,46.0,68.0,39.0,13.0
,2017-04-13,25,1,3505,4315,3776,4474,4169,3701,16270.0,40.0,12.0,60.0,34.0,4.0,63.0,55.0,37.0,1.0,30.0,26.0,51.0
,2017-04-13,9,2,4450,3518,4349,4823,4317,4642,550.0,22.0,35.0,21.0,44.0,24.0,69.0,44.0,20.0,47.0,50.0,5.0,28.0
