,date,result_com,number_race,racer_1_ID,racer_2_ID,racer_3_ID,racer_4_ID,racer_5_ID,racer_6_ID,money,racer_1_b,racer_1_m,racer_2_b,racer_2_m,racer_3_b,racer_3_m,racer_4_b,racer_4_m,racer_5_b,racer_5_m,racer_6_b,racer_6_m
,2012-04-03,6,1,3959,3793,4196,3326,4583,4037,1160.0,3.0,43.0,33.0,40.0,56.0,67.0,59.0,45.0,60.0,42.0,29.0,47.0
,2012-04-03,3,2,3251,4268,4158,4305,3352,4097,2960.0,10.0,36.0,39.0,63.0,31.0,34.0,15.0,73.0,2.0,56.0,1.0,52.0
,2012-04-03,44,3,3662,4026,3564,3875,4096,3925,21490.0,4.0,68.0,27.0,74.0,52.0,62.0,7.0,70.0,14.0,55.0,48.0,66.0
,2012-04-03,62,4,4266,3741,3788,3527,4321,4363,5100.0,21.0,46.0,28.0,32.0,5.0,57.0,16.0,69.0,23.0,51.0,38.0,58.0
,2012-04-03,25,5,4112,4296,3326,4327,2763,4573,1980.0,40.0,39.0,11.0,33.0,59.0,45.0,35.0,38.0,24.0,49.0,53.0,75.0
,2012-04-03,58,6,2842,3052,4258,3340,4037,3352,19770.0,18.0,48.0,47.0,41.0,26.0,50.0,57.0,61.0,29.0,47.0,2.0,56.0
,2012-04-03,76,8,4316,4266,4268,3849,3925,4099,8530.0,30.0,64.0,21.0,46.0,39.0,63.0,46.0,37.0,48.0,66.0,44.0,35.0
,2012-04-03,8,9,3552,4196,4112,3564,4097,4079,2910.0,12.0,71.0,56.0,67.0,40.0,39.0,52.0,62.0,1.0,52.0,45.0,72.0
,2012-04-03,102,10,2920,3662,4327,3064,3527,3159,10390.0,43.0,54.0,4.0,68.0,35.0,38.0,6.0,31.0,16.0,69.0,32.0,44.0
,2012-04-03,5,12,4296,3251,3959,4079,4099,4096,980.0,11.0,33.0,10.0,36.0,3.0,43.0,45.0,72.0,44.0,35.0,14.0,55.0
,2012-04-04,16,1,3159,4258,2842,4363,4573,4026,4480.0,32.0,44.0,26.0,50.0,18.0,48.0,38.0,58.0,53.0,75.0,27.0,74.0
,2012-04-04,5,2,4069,4321,4583,4112,4158,2920,4000.0,36.0,59.0,23.0,51.0,60.0,42.0,40.0,39.0,31.0,34.0,43.0,54.0
,2012-04-04,55,3,4099,2763,3251,4037,4266,3340,9050.0,44.0,35.0,24.0,49.0,10.0,36.0,29.0,47.0,21.0,46.0,57.0,61.0
