,target_com,depth,target_per,総収益,投資金額,出現数,購買予測数,利益率,購買的中率,的中数,number_i
12926,27.0,4.0,107.0,121990.0,72100.0,21.0,721.0,169.19556171983356,1.5256588072122053,11.0,56.0
13013,27.0,5.0,95.0,179050.0,158400.0,21.0,1584.0,113.03661616161615,1.0101010101010102,16.0,44.0
13014,27.0,5.0,96.0,179050.0,154500.0,21.0,1545.0,115.88996763754044,1.035598705501618,16.0,45.0
13015,27.0,5.0,97.0,179050.0,145000.0,21.0,1450.0,123.48275862068964,1.1034482758620692,16.0,46.0
13016,27.0,5.0,98.0,153850.0,139700.0,21.0,1397.0,110.1288475304223,1.0737294201861132,15.0,47.0
13017,27.0,5.0,99.0,179050.0,127500.0,21.0,1275.0,140.43137254901958,1.2549019607843137,16.0,48.0
13018,27.0,5.0,100.0,172300.0,127800.0,21.0,1278.0,134.82003129890458,1.1737089201877933,15.0,49.0
13019,27.0,5.0,101.0,172300.0,127800.0,21.0,1278.0,134.82003129890458,1.1737089201877933,15.0,50.0
13020,27.0,5.0,102.0,130010.0,113600.0,21.0,1136.0,114.44542253521126,1.1443661971830987,13.0,51.0
13021,27.0,5.0,103.0,130010.0,99300.0,21.0,993.0,130.9264853977845,1.3091641490433032,13.0,52.0
13022,27.0,5.0,104.0,130010.0,104900.0,21.0,1049.0,123.93708293612964,1.2392755004766445,13.0,53.0
13023,27.0,5.0,105.0,130010.0,93300.0,21.0,933.0,139.34619506966774,1.3933547695605577,13.0,54.0
13112,27.0,6.0,95.0,179050.0,160000.0,21.0,1600.0,111.90625,1.0,16.0,44.0
13113,27.0,6.0,96.0,179050.0,156500.0,21.0,1565.0,114.40894568690096,1.022364217252396,16.0,45.0
13114,27.0,6.0,97.0,179050.0,144400.0,21.0,1444.0,123.99584487534624,1.10803324099723,16.0,46.0
13115,27.0,6.0,98.0,147100.0,128700.0,21.0,1287.0,114.29681429681429,1.0878010878010878,14.0,47.0
13116,27.0,6.0,99.0,153850.0,130100.0,21.0,1301.0,118.25518831667948,1.1529592621060722,15.0,48.0
13117,27.0,6.0,100.0,147100.0,121900.0,21.0,1219.0,120.6726825266612,1.1484823625922889,14.0,49.0
13118,27.0,6.0,101.0,147100.0,121900.0,21.0,1219.0,120.6726825266612,1.1484823625922889,14.0,50.0
13119,27.0,6.0,102.0,153850.0,111000.0,21.0,1110.0,138.6036036036036,1.351351351351351,15.0,51.0
13120,27.0,6.0,103.0,155210.0,105500.0,21.0,1055.0,147.11848341232226,1.3270142180094786,14.0,52.0
13121,27.0,6.0,104.0,147100.0,101500.0,21.0,1015.0,144.92610837438426,1.3793103448275863,14.0,53.0
13122,27.0,6.0,105.0,130010.0,99200.0,21.0,992.0,131.0584677419355,1.310483870967742,13.0,54.0
13123,27.0,6.0,106.0,130010.0,99200.0,21.0,992.0,131.0584677419355,1.310483870967742,13.0,55.0
13124,27.0,6.0,107.0,130010.0,82200.0,21.0,822.0,158.16301703163015,1.5815085158150852,13.0,56.0
13125,27.0,6.0,108.0,121990.0,83000.0,21.0,830.0,146.97590361445782,1.3253012048192772,11.0,57.0
