,date,money,number_race,racer_1_ID,racer_1_age,racer_1_ave_st,racer_1_bo,racer_1_doub,racer_1_male,racer_1_mo,racer_1_rank,racer_2_ID,racer_2_age,racer_2_ave_st,racer_2_bo,racer_2_doub,racer_2_male,racer_2_mo,racer_2_rank,racer_3_ID,racer_3_age,racer_3_ave_st,racer_3_bo,racer_3_doub,racer_3_male,racer_3_mo,racer_3_rank,racer_4_ID,racer_4_age,racer_4_ave_st,racer_4_bo,racer_4_doub,racer_4_male,racer_4_mo,racer_4_rank,racer_5_ID,racer_5_age,racer_5_ave_st,racer_5_bo,racer_5_doub,racer_5_male,racer_5_mo,racer_5_rank,racer_6_ID,racer_6_age,racer_6_ave_st,racer_6_bo,racer_6_doub,racer_6_male,racer_6_mo,racer_6_rank,result_com
,2013-04-01,1300.0,1,3679,40.0,0.16,37.0,0.402,1,35.0,4,3137,53.0,0.21,26.0,0.18100000000000002,1,60.0,2,4420,26.0,0.17,11.0,0.295,1,42.0,2,4390,27.0,0.2,56.0,0.221,1,75.0,2,4176,31.0,0.12,61.0,0.44,1,76.0,3,3564,43.0,0.14,20.0,0.304,1,38.0,2,13
,2013-04-01,660.0,2,4021,33.0,0.14,59.0,0.384,1,56.0,3,2776,60.0,0.2,19.0,0.242,1,36.0,2,3310,49.0,0.18,10.0,0.165,1,65.0,2,3615,40.0,0.15,4.0,0.45,1,74.0,3,4511,24.0,0.18,42.0,0.263,1,45.0,2,4705,25.0,0.12,35.0,0.078,1,78.0,1,9
,2013-04-01,15400.0,3,3121,52.0,0.17,1.0,0.433,1,63.0,3,3344,47.0,0.18,64.0,0.17300000000000001,1,64.0,2,4096,32.0,0.16,15.0,0.496,1,57.0,4,3758,42.0,0.22,39.0,0.065,1,68.0,1,3834,39.0,0.19,7.0,0.4,1,77.0,3,4732,24.0,0.13,41.0,0.067,1,72.0,1,81
,2013-04-01,1210.0,4,3555,41.0,0.14,29.0,0.506,1,67.0,4,2788,58.0,0.18,57.0,0.121,1,59.0,2,2920,54.0,0.22,53.0,0.2,1,48.0,2,4365,28.0,0.2,17.0,0.34,1,44.0,2,4343,29.0,0.22,54.0,0.231,1,50.0,2,4745,21.0,0.19,43.0,0.031,1,71.0,1,6
,2013-04-01,5450.0,5,3975,36.0,0.2,49.0,0.34,1,52.0,3,4370,27.0,0.16,5.0,0.5489999999999999,1,46.0,4,3614,40.0,0.18,63.0,0.25,1,55.0,2,4420,26.0,0.17,11.0,0.295,1,42.0,2,4073,32.0,0.16,40.0,0.474,1,47.0,4,4607,24.0,0.21,21.0,0.322,1,58.0,2,81
,2013-04-01,2640.0,6,2997,51.0,0.23,46.0,0.345,1,41.0,2,3550,42.0,0.16,28.0,0.513,1,49.0,4,3538,45.0,0.19,33.0,0.39,1,43.0,3,3747,38.0,0.16,12.0,0.36700000000000005,1,69.0,3,3820,41.0,0.19,52.0,0.27699999999999997,1,54.0,2,3920,39.0,0.16,23.0,0.429,1,51.0,4,39
,2013-04-01,11440.0,7,2776,60.0,0.2,19.0,0.242,1,36.0,2,3121,52.0,0.17,1.0,0.433,1,63.0,3,3576,41.0,0.17,24.0,0.508,1,40.0,4,4076,35.0,0.21,50.0,0.337,1,61.0,3,3912,39.0,0.16,9.0,0.408,1,53.0,3,3489,46.0,0.19,36.0,0.562,1,73.0,4,66
,2013-04-01,17690.0,9,2920,54.0,0.22,53.0,0.2,1,48.0,2,3614,40.0,0.18,63.0,0.25,1,55.0,2,3344,47.0,0.18,64.0,0.17300000000000001,1,64.0,2,3564,43.0,0.14,20.0,0.304,1,38.0,2,4521,26.0,0.16,22.0,0.3,1,39.0,2,3310,49.0,0.18,10.0,0.165,1,65.0,2,19
,2013-04-01,5320.0,10,2788,58.0,0.18,57.0,0.121,1,59.0,2,3615,40.0,0.15,4.0,0.45,1,74.0,3,3550,42.0,0.16,28.0,0.513,1,49.0,4,3975,36.0,0.2,49.0,0.34,1,52.0,3,3489,46.0,0.19,36.0,0.562,1,73.0,4,3834,39.0,0.19,7.0,0.4,1,77.0,3,30
,2013-04-01,24830.0,11,4076,35.0,0.21,50.0,0.337,1,61.0,3,3555,41.0,0.14,29.0,0.506,1,67.0,4,3912,39.0,0.16,9.0,0.408,1,53.0,3,4021,33.0,0.14,59.0,0.384,1,56.0,3,3747,38.0,0.16,12.0,0.36700000000000005,1,69.0,3,3692,42.0,0.18,60.0,0.311,1,66.0,2,53
,2013-04-01,1810.0,12,3576,41.0,0.17,24.0,0.508,1,40.0,4,3484,42.0,0.16,65.0,0.517,1,11.0,4,3679,40.0,0.16,37.0,0.402,1,35.0,4,4370,27.0,0.16,5.0,0.5489999999999999,1,46.0,4,3920,39.0,0.16,23.0,0.429,1,51.0,4,4096,32.0,0.16,15.0,0.496,1,57.0,4,5
,2013-04-02,690.0,1,3489,46.0,0.19,36.0,0.562,1,73.0,4,4511,24.0,0.18,42.0,0.263,1,45.0,2,4607,24.0,0.21,21.0,0.322,1,58.0,2,4521,26.0,0.16,22.0,0.3,1,39.0,2,3137,53.0,0.21,26.0,0.18100000000000002,1,60.0,2,3344,47.0,0.18,64.0,0.17300000000000001,1,64.0,2,2
,2013-04-02,2250.0,2,4370,27.0,0.16,5.0,0.5489999999999999,1,46.0,4,2997,51.0,0.23,46.0,0.345,1,41.0,2,4390,27.0,0.2,56.0,0.221,1,75.0,2,4091,33.0,0.18,58.0,0.384,1,37.0,3,2920,54.0,0.22,53.0,0.2,1,48.0,2,4705,25.0,0.12,35.0,0.078,1,78.0,1,5
,2013-04-02,690.0,3,3912,39.0,0.16,9.0,0.408,1,53.0,3,4365,28.0,0.2,17.0,0.34,1,44.0,2,3692,42.0,0.18,60.0,0.311,1,66.0,2,4343,29.0,0.22,54.0,0.231,1,50.0,2,3484,42.0,0.16,65.0,0.517,1,11.0,4,3614,40.0,0.18,63.0,0.25,1,55.0,2,7
,2013-04-02,14020.0,4,3920,39.0,0.16,23.0,0.429,1,51.0,4,3747,38.0,0.16,12.0,0.36700000000000005,1,69.0,3,3615,40.0,0.15,4.0,0.45,1,74.0,3,4176,31.0,0.12,61.0,0.44,1,76.0,3,3850,41.0,0.18,2.0,0.27,1,62.0,2,4420,26.0,0.17,11.0,0.295,1,42.0,2,49
,2013-04-02,1480.0,5,3820,41.0,0.19,52.0,0.27699999999999997,1,54.0,2,4096,32.0,0.16,15.0,0.496,1,57.0,4,3758,42.0,0.22,39.0,0.065,1,68.0,1,3137,53.0,0.21,26.0,0.18100000000000002,1,60.0,2,2776,60.0,0.2,19.0,0.242,1,36.0,2,4745,21.0,0.19,43.0,0.031,1,71.0,1,29
,2013-04-02,1410.0,6,4073,32.0,0.16,40.0,0.474,1,47.0,4,3834,39.0,0.19,7.0,0.4,1,77.0,3,2997,51.0,0.23,46.0,0.345,1,41.0,2,3679,40.0,0.16,37.0,0.402,1,35.0,4,3121,52.0,0.17,1.0,0.433,1,63.0,3,3975,36.0,0.2,49.0,0.34,1,52.0,3,12
,2013-04-02,3090.0,7,3310,49.0,0.18,10.0,0.165,1,65.0,2,3692,42.0,0.18,60.0,0.311,1,66.0,2,4521,26.0,0.16,22.0,0.3,1,39.0,2,3576,41.0,0.17,24.0,0.508,1,40.0,4,4705,25.0,0.12,35.0,0.078,1,78.0,1,4076,35.0,0.21,50.0,0.337,1,61.0,3,72
,2013-04-02,4650.0,8,3550,42.0,0.16,28.0,0.513,1,49.0,4,4343,29.0,0.22,54.0,0.231,1,50.0,2,2788,58.0,0.18,57.0,0.121,1,59.0,2,3538,45.0,0.19,33.0,0.39,1,43.0,3,4607,24.0,0.21,21.0,0.322,1,58.0,2,3850,41.0,0.18,2.0,0.27,1,62.0,2,15
,2013-04-02,3400.0,9,4390,27.0,0.2,56.0,0.221,1,75.0,2,4176,31.0,0.12,61.0,0.44,1,76.0,3,4073,32.0,0.16,40.0,0.474,1,47.0,4,3344,47.0,0.18,64.0,0.17300000000000001,1,64.0,2,4745,21.0,0.19,43.0,0.031,1,71.0,1,4732,24.0,0.13,41.0,0.067,1,72.0,1,50
