,money,number_race,racer_1_ID,racer_1_b,racer_1_m,racer_2_ID,racer_2_b,racer_2_m,racer_3_ID,racer_3_b,racer_3_m,racer_4_ID,racer_4_b,racer_4_m,racer_5_ID,racer_5_b,racer_5_m,racer_6_ID,racer_6_b,racer_6_m,result_com
,960.0,6,4331,12.0,46.0,3572,47.0,56.0,4191,62.0,54.0,4167,42.0,55.0,3514,7.0,65.0,4488,15.0,71.0,9
,2690.0,7,3614,51.0,59.0,2992,8.0,69.0,3477,27.0,38.0,3862,50.0,74.0,4410,24.0,57.0,4745,20.0,67.0,21
,260.0,8,4472,25.0,66.0,3789,34.0,51.0,2816,38.0,62.0,3397,57.0,36.0,2997,28.0,64.0,3745,48.0,43.0,2
,240.0,9,3535,21.0,68.0,3660,53.0,44.0,3170,46.0,48.0,3189,6.0,32.0,3368,56.0,33.0,3338,63.0,61.0,2
,12200.0,10,3862,50.0,74.0,4012,13.0,73.0,3514,7.0,65.0,3572,47.0,56.0,4292,36.0,70.0,4632,52.0,34.0,23
,5110.0,11,4163,33.0,41.0,3641,45.0,39.0,3684,30.0,49.0,4488,15.0,71.0,4191,62.0,54.0,4410,24.0,57.0,8
,5340.0,12,3290,41.0,52.0,3233,49.0,63.0,4236,35.0,50.0,2876,61.0,31.0,4356,40.0,47.0,4167,42.0,55.0,5
,2000.0,1,4356,40.0,47.0,3005,5.0,75.0,4012,13.0,73.0,4595,17.0,35.0,3397,57.0,36.0,4774,14.0,72.0,3
,370.0,2,3290,41.0,52.0,3789,34.0,51.0,3535,21.0,68.0,3477,27.0,38.0,4753,1.0,40.0,4663,59.0,45.0,3
,210.0,3,4236,35.0,50.0,3170,46.0,48.0,3684,30.0,49.0,2997,28.0,64.0,3434,11.0,42.0,4331,12.0,46.0,2
,420.0,4,3572,47.0,56.0,4167,42.0,55.0,3614,51.0,59.0,3372,26.0,60.0,4163,33.0,41.0,3745,48.0,43.0,2
,190.0,5,4410,24.0,57.0,3514,7.0,65.0,3660,53.0,44.0,2816,38.0,62.0,4632,52.0,34.0,4745,20.0,67.0,1
,16130.0,6,2992,8.0,69.0,3368,56.0,33.0,3477,27.0,38.0,4488,15.0,71.0,3189,6.0,32.0,4292,36.0,70.0,28
,8250.0,7,2876,61.0,31.0,3862,50.0,74.0,3233,49.0,63.0,3641,45.0,39.0,4472,25.0,66.0,3434,11.0,42.0,20
,2170.0,8,4191,62.0,54.0,3338,63.0,61.0,4595,17.0,35.0,3535,21.0,68.0,4331,12.0,46.0,4777,43.0,37.0,6
,4050.0,9,4457,18.0,53.0,3372,26.0,60.0,2997,28.0,64.0,3005,5.0,75.0,4745,20.0,67.0,4753,1.0,40.0,21
,320.0,11,4472,25.0,66.0,4163,33.0,41.0,2992,8.0,69.0,4012,13.0,73.0,3614,51.0,59.0,3233,49.0,63.0,2
