,money,number_race,racer_1_ID,racer_1_b,racer_1_m,racer_2_ID,racer_2_b,racer_2_m,racer_3_ID,racer_3_b,racer_3_m,racer_4_ID,racer_4_b,racer_4_m,racer_5_ID,racer_5_b,racer_5_m,racer_6_ID,racer_6_b,racer_6_m,result_com
,1360.0,8,4880,72.0,64.0,4588,38.0,58.0,3070,23.0,52.0,4263,45.0,69.0,4515,51.0,51.0,4494,55.0,35.0,8
,4790.0,9,4733,75.0,74.0,4289,67.0,15.0,4317,57.0,38.0,4065,18.0,11.0,4689,54.0,41.0,5021,30.0,42.0,50
,530.0,11,4155,71.0,30.0,3158,29.0,21.0,3662,39.0,72.0,4034,56.0,43.0,3220,15.0,29.0,3105,42.0,17.0,5
,8090.0,12,4448,35.0,24.0,3233,19.0,57.0,4515,51.0,51.0,4610,12.0,47.0,4365,61.0,60.0,4363,69.0,14.0,22
,2180.0,1,3711,25.0,62.0,4181,34.0,46.0,4005,17.0,39.0,4046,65.0,22.0,4303,20.0,31.0,4733,75.0,74.0,15
,660.0,2,4363,69.0,14.0,4263,45.0,69.0,4289,67.0,15.0,3931,74.0,61.0,4909,27.0,48.0,3809,70.0,54.0,10
,1200.0,4,4494,55.0,35.0,4575,64.0,44.0,4343,58.0,63.0,4880,72.0,64.0,4317,57.0,38.0,5021,30.0,42.0,11
,2630.0,5,3105,42.0,17.0,4970,62.0,23.0,4365,61.0,60.0,4509,22.0,75.0,5069,40.0,12.0,3541,50.0,40.0,4
,37870.0,6,4909,27.0,48.0,4081,46.0,37.0,4034,56.0,43.0,4078,32.0,25.0,4065,18.0,11.0,3158,29.0,21.0,47
,10280.0,7,4005,17.0,39.0,4733,75.0,74.0,3973,59.0,68.0,3809,70.0,54.0,4689,54.0,41.0,5000,63.0,34.0,64
,5890.0,8,4515,51.0,51.0,4509,22.0,75.0,4046,65.0,22.0,4289,67.0,15.0,3070,23.0,52.0,5108,13.0,33.0,21
,11370.0,9,3931,74.0,61.0,4065,18.0,11.0,4303,20.0,31.0,4575,64.0,44.0,4494,55.0,35.0,4970,62.0,23.0,33
,12190.0,10,4078,32.0,25.0,4610,12.0,47.0,3105,42.0,17.0,3711,25.0,62.0,3220,15.0,29.0,4363,69.0,14.0,50
,17750.0,11,3158,29.0,21.0,4515,51.0,51.0,3541,50.0,40.0,4034,56.0,43.0,4365,61.0,60.0,4880,72.0,64.0,19
,530.0,12,4155,71.0,30.0,4330,11.0,55.0,3233,19.0,57.0,4448,35.0,24.0,4254,24.0,50.0,3662,39.0,72.0,2
,3890.0,1,3385,56.0,54.0,3537,30.0,59.0,3443,24.0,71.0,3617,75.0,30.0,4835,11.0,72.0,5067,68.0,73.0,13
,1340.0,2,4052,13.0,29.0,4425,71.0,16.0,3885,39.0,46.0,4816,17.0,14.0,4209,54.0,45.0,4195,62.0,75.0,11
,6890.0,3,3696,35.0,11.0,4657,38.0,20.0,4163,70.0,48.0,4596,42.0,42.0,4917,63.0,41.0,5011,58.0,66.0,61
,59080.0,4,3022,27.0,60.0,3430,40.0,61.0,4899,25.0,38.0,4284,22.0,50.0,4299,67.0,27.0,5054,20.0,13.0,47
,24260.0,5,3020,34.0,25.0,4166,32.0,21.0,4380,74.0,70.0,4526,59.0,39.0,3537,30.0,59.0,3757,61.0,24.0,64
,2090.0,6,3036,12.0,49.0,4650,57.0,69.0,4195,62.0,75.0,4811,46.0,32.0,5067,68.0,73.0,3915,64.0,53.0,21
,6400.0,7,3161,19.0,56.0,3443,24.0,71.0,4466,69.0,26.0,4768,15.0,65.0,4163,70.0,48.0,4425,71.0,16.0,45
,2930.0,8,3885,39.0,46.0,3974,72.0,64.0,4239,23.0,40.0,4657,38.0,20.0,3385,56.0,54.0,4284,22.0,50.0,49
,910.0,9,4607,51.0,63.0,4835,11.0,72.0,3020,34.0,25.0,5011,58.0,66.0,4052,13.0,29.0,3430,40.0,61.0,3
,27720.0,10,4209,54.0,45.0,3617,75.0,30.0,3757,61.0,24.0,4650,57.0,69.0,4957,65.0,57.0,4340,55.0,36.0,96
,660.0,11,4526,59.0,39.0,4790,50.0,67.0,4816,17.0,14.0,4899,25.0,38.0,4596,42.0,42.0,5070,29.0,23.0,7
,2500.0,12,4166,32.0,21.0,3022,27.0,60.0,3915,64.0,53.0,4239,23.0,40.0,3696,35.0,11.0,4466,69.0,26.0,4
,1240.0,2,4239,23.0,40.0,4596,42.0,42.0,4166,32.0,21.0,4340,55.0,36.0,3430,40.0,61.0,4380,74.0,70.0,7
,2290.0,3,4650,57.0,69.0,4917,63.0,41.0,4299,67.0,27.0,4466,69.0,26.0,3885,39.0,46.0,4768,15.0,65.0,14
,2600.0,4,4163,70.0,48.0,4209,54.0,45.0,4957,65.0,57.0,3443,24.0,71.0,4657,38.0,20.0,3036,12.0,49.0,15
,1500.0,5,4195,62.0,75.0,3696,35.0,11.0,3161,19.0,56.0,5070,29.0,23.0,4816,17.0,14.0,4607,51.0,63.0,7
,11950.0,6,3757,61.0,22.0,4380,74.0,70.0,3022,27.0,60.0,3385,56.0,54.0,4899,25.0,38.0,3974,72.0,64.0,61
,5870.0,7,4596,42.0,42.0,4299,67.0,27.0,4526,59.0,39.0,3915,64.0,53.0,5054,20.0,13.0,3020,34.0,25.0,46
,450.0,8,3430,40.0,61.0,4052,13.0,29.0,4790,50.0,67.0,4209,54.0,45.0,4768,15.0,65.0,5067,68.0,73.0,1
,700.0,9,4466,69.0,26.0,4811,46.0,32.0,5011,58.0,66.0,4957,65.0,57.0,4239,23.0,40.0,3161,19.0,56.0,13
,900.0,10,4340,55.0,36.0,3036,12.0,49.0,3537,30.0,59.0,3696,35.0,11.0,3022,27.0,60.0,4917,63.0,41.0,3
,770.0,11,4425,71.0,16.0,4607,51.0,63.0,3617,75.0,30.0,4835,11.0,72.0,4166,32.0,21.0,5054,20.0,13.0,13
,45940.0,12,4816,17.0,14.0,3385,56.0,54.0,4052,13.0,29.0,4163,70.0,48.0,4650,57.0,69.0,4526,59.0,39.0,27
