,money,number_race,racer_1_ID,racer_1_b,racer_1_m,racer_2_ID,racer_2_b,racer_2_m,racer_3_ID,racer_3_b,racer_3_m,racer_4_ID,racer_4_b,racer_4_m,racer_5_ID,racer_5_b,racer_5_m,racer_6_ID,racer_6_b,racer_6_m,result_com
,2400.0,2,3984,53.0,15.0,3555,36.0,52.0,3502,15.0,31.0,4193,26.0,62.0,3933,22.0,12.0,3779,51.0,72.0,7
,3990.0,3,3992,27.0,74.0,4370,11.0,65.0,4276,14.0,48.0,4174,35.0,75.0,4292,23.0,57.0,2992,65.0,37.0,1
,2810.0,4,3703,59.0,27.0,3529,46.0,61.0,3978,19.0,16.0,3966,40.0,20.0,4008,49.0,51.0,3783,30.0,40.0,2
,2430.0,5,4070,16.0,76.0,4364,12.0,13.0,3946,70.0,66.0,4205,76.0,26.0,4019,32.0,18.0,4366,55.0,68.0,15
,3310.0,6,3576,48.0,67.0,4024,71.0,46.0,4168,31.0,64.0,3908,33.0,55.0,4193,26.0,62.0,3773,68.0,73.0,10
,1660.0,7,3613,50.0,23.0,3572,28.0,70.0,3779,51.0,72.0,4418,13.0,53.0,4276,14.0,48.0,3612,54.0,22.0,2
,3370.0,8,4140,57.0,47.0,3983,47.0,14.0,3568,20.0,69.0,3783,30.0,40.0,3502,15.0,31.0,4174,35.0,75.0,73
,5010.0,9,3966,40.0,20.0,4096,60.0,45.0,4070,16.0,76.0,3555,36.0,52.0,2992,65.0,37.0,3813,72.0,50.0,13
,1430.0,10,3942,63.0,59.0,3992,27.0,74.0,3933,22.0,12.0,4168,31.0,64.0,3978,19.0,16.0,3946,70.0,66.0,10
,1370.0,11,4024,71.0,46.0,4418,13.0,53.0,4019,32.0,18.0,3529,46.0,61.0,4264,66.0,44.0,4292,23.0,57.0,3
,1240.0,12,3941,73.0,19.0,3557,17.0,21.0,3422,21.0,35.0,3251,43.0,39.0,3897,52.0,41.0,4320,64.0,24.0,7
,1130.0,1,4174,35.0,75.0,4140,57.0,47.0,3612,54.0,22.0,4366,55.0,68.0,3349,74.0,17.0,3251,43.0,39.0,8
,4420.0,2,3568,20.0,69.0,3779,51.0,72.0,3992,27.0,74.0,3703,59.0,27.0,3946,70.0,66.0,3576,48.0,67.0,29
,1000.0,3,4370,11.0,65.0,3897,52.0,41.0,3983,47.0,14.0,3984,53.0,15.0,3773,68.0,73.0,3555,36.0,52.0,2
