,date,money,number_race,racer_1_ID,racer_1_b,racer_1_m,racer_2_ID,racer_2_b,racer_2_m,racer_3_ID,racer_3_b,racer_3_m,racer_4_ID,racer_4_b,racer_4_m,racer_5_ID,racer_5_b,racer_5_m,racer_6_ID,racer_6_b,racer_6_m,result_com
,2013-04-10,5040.0,5,4491,23.0,41.0,4311,14.0,59.0,3010,53.0,30.0,3805,46.0,45.0,3636,68.0,72.0,4712,42.0,26.0,67
,2013-04-10,41120.0,6,4006,64.0,27.0,3740,65.0,36.0,4323,48.0,28.0,3641,59.0,38.0,4396,26.0,70.0,3950,45.0,33.0,114
,2013-04-10,1950.0,7,3064,67.0,39.0,3974,13.0,44.0,2958,20.0,66.0,3135,60.0,12.0,3297,39.0,56.0,4221,43.0,25.0,1
,2013-04-10,5090.0,8,3390,25.0,23.0,3972,56.0,58.0,3728,32.0,74.0,4251,40.0,22.0,4214,28.0,67.0,4715,15.0,47.0,62
,2013-04-10,750.0,9,4305,37.0,20.0,3571,27.0,53.0,3350,18.0,11.0,3636,68.0,72.0,4315,33.0,24.0,3788,57.0,46.0,8
,2013-04-10,1250.0,10,2844,11.0,35.0,4294,44.0,34.0,3974,13.0,44.0,3627,35.0,21.0,4691,36.0,14.0,3641,59.0,38.0,24
,2013-04-10,10510.0,11,3419,55.0,60.0,3805,46.0,45.0,3297,39.0,56.0,3713,34.0,48.0,4712,42.0,26.0,4111,19.0,29.0,69
,2013-04-10,4860.0,12,3010,53.0,30.0,4305,37.0,20.0,3574,70.0,61.0,4235,17.0,68.0,4323,48.0,28.0,3135,60.0,12.0,22
,2013-04-11,1940.0,1,3350,18.0,11.0,4491,23.0,41.0,3728,32.0,74.0,3419,55.0,60.0,3804,12.0,15.0,4715,15.0,47.0,14
,2013-04-11,1390.0,2,3641,59.0,38.0,4214,28.0,67.0,3636,68.0,72.0,3202,38.0,63.0,4221,43.0,25.0,3627,35.0,21.0,9
,2013-04-11,720.0,4,3010,53.0,30.0,3571,27.0,53.0,4111,19.0,29.0,3950,45.0,33.0,4311,14.0,59.0,4315,33.0,24.0,14
,2013-04-11,28930.0,5,4007,62.0,51.0,4294,44.0,34.0,3390,25.0,23.0,4251,40.0,22.0,3713,34.0,48.0,2958,20.0,66.0,93
,2013-04-11,9310.0,6,3135,60.0,12.0,3202,38.0,63.0,3788,57.0,46.0,3972,56.0,58.0,3805,46.0,45.0,3574,70.0,61.0,119
,2013-04-11,2550.0,7,4235,17.0,68.0,2844,11.0,35.0,4323,48.0,28.0,3804,12.0,15.0,4691,36.0,14.0,3297,39.0,56.0,109
,2013-04-11,2550.0,8,4396,26.0,70.0,4221,43.0,25.0,3408,54.0,32.0,3390,25.0,23.0,4491,23.0,41.0,4712,42.0,26.0,2
,2013-04-11,1630.0,9,3627,35.0,21.0,3419,55.0,73.0,4214,28.0,67.0,4007,62.0,51.0,4315,33.0,24.0,4006,64.0,27.0,78
,2013-04-11,450.0,10,4311,14.0,59.0,3805,46.0,45.0,3641,59.0,38.0,4111,19.0,29.0,4235,17.0,68.0,3974,13.0,44.0,1
,2013-04-11,8060.0,11,3297,39.0,56.0,3713,34.0,48.0,3064,67.0,39.0,4305,37.0,20.0,4323,48.0,28.0,3571,27.0,53.0,67
,2013-04-11,3320.0,12,4294,44.0,34.0,3010,53.0,30.0,3350,18.0,11.0,3788,57.0,46.0,3740,65.0,36.0,3135,60.0,64.0,10
,2013-04-12,830.0,1,3064,67.0,39.0,3972,56.0,58.0,4221,43.0,25.0,4315,33.0,24.0,4715,15.0,47.0,4712,42.0,26.0,14
,2013-04-12,2290.0,2,3740,65.0,36.0,3636,68.0,72.0,3804,12.0,15.0,3419,55.0,73.0,3950,45.0,33.0,4691,36.0,14.0,13
