,money,number_race,racer_1_ID,racer_1_b,racer_1_m,racer_2_ID,racer_2_b,racer_2_m,racer_3_ID,racer_3_b,racer_3_m,racer_4_ID,racer_4_b,racer_4_m,racer_5_ID,racer_5_b,racer_5_m,racer_6_ID,racer_6_b,racer_6_m,result_com
,2530.0,10,4205,23.0,52.0,4063,76.0,57.0,4397,58.0,69.0,4024,25.0,53.0,4235,26.0,51.0,4477,65.0,12.0,8
,3330.0,12,4320,73.0,64.0,4292,49.0,65.0,3946,71.0,21.0,3484,66.0,15.0,4070,27.0,20.0,4044,51.0,73.0,12
,1570.0,1,4171,54.0,75.0,3555,50.0,66.0,4352,21.0,17.0,4061,67.0,23.0,4297,43.0,67.0,4264,22.0,45.0,10
,1360.0,2,4063,76.0,57.0,3422,46.0,16.0,4055,36.0,59.0,4503,34.0,58.0,4174,48.0,44.0,3388,44.0,74.0,1
,680.0,3,4659,69.0,70.0,3841,24.0,47.0,4096,63.0,56.0,4205,23.0,52.0,4043,18.0,54.0,4073,60.0,30.0,2
,3170.0,4,4366,28.0,63.0,3874,19.0,18.0,3779,11.0,25.0,4025,45.0,26.0,4256,38.0,71.0,4075,61.0,61.0,8
,2450.0,5,4297,43.0,67.0,4397,58.0,69.0,4237,14.0,29.0,3952,68.0,36.0,3966,56.0,31.0,4238,32.0,38.0,9
,8840.0,6,3983,17.0,76.0,4503,34.0,58.0,4044,51.0,73.0,4292,49.0,65.0,4352,21.0,17.0,3777,47.0,60.0,52
,3880.0,7,4308,13.0,62.0,4460,75.0,32.0,4073,60.0,30.0,4070,27.0,20.0,3422,46.0,16.0,4024,25.0,53.0,17
,1800.0,8,4025,45.0,26.0,4096,63.0,56.0,3388,44.0,74.0,4171,54.0,75.0,3783,55.0,39.0,4364,20.0,27.0,1
,2210.0,10,4477,65.0,12.0,4264,22.0,45.0,4174,48.0,44.0,3777,47.0,60.0,4320,73.0,64.0,4235,26.0,51.0,2
,2890.0,11,3960,64.0,33.0,4256,38.0,71.0,3966,56.0,31.0,3898,74.0,55.0,4205,23.0,52.0,3484,66.0,15.0,11
,2190.0,12,3783,55.0,39.0,3946,71.0,21.0,3942,16.0,24.0,4044,51.0,73.0,4397,58.0,69.0,3841,24.0,47.0,10
,1450.0,1,4096,63.0,56.0,4297,43.0,67.0,4025,45.0,26.0,3966,56.0,31.0,3874,19.0,18.0,4503,34.0,58.0,6
,1670.0,2,4256,38.0,71.0,4237,14.0,29.0,4174,48.0,44.0,4063,76.0,57.0,4070,27.0,20.0,4235,26.0,51.0,2
,2410.0,3,3952,68.0,36.0,4364,20.0,27.0,3983,17.0,76.0,4055,36.0,59.0,4292,49.0,65.0,4460,75.0,32.0,12
,13710.0,4,4397,58.0,69.0,4366,28.0,63.0,4264,22.0,45.0,4352,21.0,17.0,4061,67.0,23.0,4043,18.0,54.0,49
,1550.0,5,3422,46.0,16.0,4073,60.0,30.0,4096,63.0,56.0,3388,44.0,74.0,4025,45.0,26.0,3898,74.0,55.0,8
,55800.0,6,4075,61.0,61.0,4503,34.0,58.0,3966,56.0,31.0,4174,48.0,44.0,4256,38.0,71.0,4364,20.0,27.0,47
,92160.0,7,4070,27.0,20.0,4235,26.0,51.0,4292,49.0,65.0,3983,17.0,76.0,4397,58.0,69.0,4297,43.0,67.0,38
,1630.0,8,4055,36.0,59.0,3874,19.0,18.0,3388,44.0,74.0,4237,14.0,29.0,3952,68.0,36.0,4366,28.0,63.0,5
