,money,number_race,racer_1_ID,racer_1_b,racer_1_m,racer_2_ID,racer_2_b,racer_2_m,racer_3_ID,racer_3_b,racer_3_m,racer_4_ID,racer_4_b,racer_4_m,racer_5_ID,racer_5_b,racer_5_m,racer_6_ID,racer_6_b,racer_6_m,result_com
,27050.0,9,4747,48.0,20.0,4864,68.0,16.0,4551,72.0,70.0,4931,20.0,19.0,4951,44.0,56.0,4831,74.0,74.0,70
,1180.0,10,4757,58.0,12.0,4713,60.0,37.0,4715,27.0,67.0,4839,15.0,30.0,4794,16.0,51.0,4832,73.0,63.0,6
,1040.0,12,4524,70.0,38.0,4503,35.0,52.0,4532,56.0,77.0,4802,62.0,35.0,4759,12.0,28.0,4551,72.0,70.0,5
,790.0,1,4551,72.0,70.0,4917,71.0,61.0,4948,23.0,15.0,4747,48.0,20.0,4958,75.0,72.0,4890,65.0,27.0,5
,1060.0,2,4787,11.0,60.0,4875,63.0,32.0,4864,68.0,16.0,4887,14.0,49.0,4771,49.0,31.0,4695,76.0,66.0,2
,1440.0,3,4703,54.0,75.0,4753,66.0,65.0,4503,35.0,52.0,4759,12.0,28.0,4951,44.0,56.0,4709,59.0,33.0,10
,740.0,5,4523,46.0,48.0,4705,57.0,68.0,4715,27.0,67.0,4931,20.0,19.0,4710,24.0,47.0,4958,75.0,72.0,6
,2060.0,6,4832,73.0,63.0,4747,48.0,20.0,4887,14.0,49.0,4918,31.0,50.0,4802,62.0,35.0,4713,60.0,37.0,5
,5360.0,7,4776,45.0,71.0,4809,34.0,41.0,4524,70.0,38.0,4839,15.0,30.0,4877,64.0,53.0,4702,13.0,21.0,9
,4580.0,8,4794,16.0,51.0,4709,59.0,33.0,4771,49.0,31.0,4523,46.0,48.0,4912,18.0,40.0,4711,40.0,44.0,21
,3530.0,9,4715,27.0,67.0,4782,67.0,69.0,4695,76.0,66.0,4948,23.0,15.0,4934,21.0,26.0,4951,44.0,56.0,8
,1450.0,11,4524,70.0,38.0,4787,11.0,60.0,4703,54.0,75.0,4794,16.0,51.0,4705,57.0,68.0,4802,62.0,35.0,3
,660.0,12,4831,74.0,74.0,4702,13.0,21.0,4711,40.0,44.0,4832,73.0,63.0,4551,72.0,70.0,4759,12.0,28.0,3
,280.0,1,4524,70.0,38.0,4695,76.0,66.0,4864,68.0,16.0,4912,18.0,40.0,4918,31.0,50.0,4934,21.0,26.0,1
,2590.0,3,4802,62.0,35.0,4713,60.0,37.0,4809,34.0,41.0,4702,13.0,21.0,4709,59.0,33.0,4710,24.0,47.0,61
,1150.0,4,4887,14.0,49.0,4757,58.0,12.0,4871,69.0,59.0,4503,35.0,52.0,4951,44.0,56.0,4890,65.0,27.0,22
,420.0,5,4832,73.0,63.0,4711,40.0,44.0,4753,66.0,65.0,4958,75.0,72.0,4931,20.0,19.0,4934,21.0,26.0,3
,1610.0,6,4747,48.0,20.0,4948,23.0,15.0,4805,39.0,76.0,4776,45.0,71.0,4912,18.0,40.0,4782,67.0,69.0,10
,1090.0,7,4864,68.0,16.0,4917,71.0,61.0,4787,11.0,60.0,4703,54.0,75.0,4809,34.0,41.0,4873,61.0,11.0,42
,760.0,8,4875,63.0,32.0,4794,16.0,51.0,4877,64.0,53.0,4831,74.0,74.0,4753,66.0,36.0,4890,65.0,27.0,61
,890.0,1,4503,35.0,52.0,4771,49.0,31.0,4948,23.0,15.0,4875,63.0,32.0,4871,69.0,59.0,4934,21.0,26.0,3
,6350.0,2,4523,46.0,48.0,4912,18.0,40.0,4802,62.0,35.0,4958,75.0,72.0,4931,20.0,19.0,4873,61.0,11.0,41
,880.0,3,4551,72.0,70.0,4747,48.0,20.0,4753,66.0,36.0,4787,11.0,60.0,4917,71.0,61.0,4890,65.0,27.0,2
,21860.0,4,4877,64.0,53.0,4864,68.0,16.0,4809,34.0,41.0,4831,74.0,17.0,4794,16.0,51.0,4782,67.0,69.0,50
