,date,money,number_race,racer_1_ID,racer_1_b,racer_1_m,racer_2_ID,racer_2_b,racer_2_m,racer_3_ID,racer_3_b,racer_3_m,racer_4_ID,racer_4_b,racer_4_m,racer_5_ID,racer_5_b,racer_5_m,racer_6_ID,racer_6_b,racer_6_m,result_com
,2018-04-01,1120.0,1,3281,76.0,75.0,3066,20.0,38.0,3862,21.0,93.0,4978,57.0,79.0,4889,73.0,89.0,4513,39.0,12.0,5
,2018-04-01,1360.0,2,3990,69.0,16.0,3694,15.0,17.0,3841,30.0,77.0,4310,71.0,24.0,4434,35.0,64.0,4972,77.0,76.0,1
,2018-04-01,1380.0,3,3690,11.0,21.0,3682,27.0,53.0,4688,59.0,26.0,4394,88.0,50.0,4948,82.0,82.0,3548,75.0,81.0,1
,2018-04-01,19020.0,5,4384,74.0,63.0,3870,18.0,70.0,4007,83.0,62.0,4684,60.0,74.0,4839,14.0,31.0,3890,68.0,32.0,49
,2018-04-01,1480.0,6,3782,54.0,80.0,4310,71.0,24.0,3744,79.0,73.0,3538,80.0,22.0,4725,87.0,71.0,4059,86.0,87.0,49
,2018-04-01,590.0,7,3853,72.0,85.0,3151,81.0,51.0,4512,63.0,34.0,4972,77.0,76.0,4672,70.0,19.0,4903,61.0,13.0,5
,2018-04-01,650.0,8,4055,58.0,29.0,4394,88.0,50.0,3281,76.0,75.0,4434,35.0,64.0,4695,89.0,33.0,4324,37.0,14.0,17
,2018-04-01,800.0,9,3915,67.0,27.0,3862,21.0,93.0,3890,68.0,32.0,4948,82.0,82.0,4681,33.0,18.0,3566,24.0,28.0,8
,2018-04-01,2060.0,10,3538,80.0,22.0,3896,52.0,83.0,4505,85.0,94.0,3690,11.0,21.0,4684,60.0,74.0,3841,30.0,77.0,19
,2018-04-01,4720.0,11,4512,63.0,34.0,4007,83.0,62.0,3782,54.0,80.0,3990,69.0,16.0,4587,38.0,90.0,4688,59.0,26.0,17
,2018-04-01,2740.0,12,3744,79.0,73.0,3853,72.0,85.0,3548,75.0,81.0,4384,74.0,63.0,4055,58.0,29.0,4430,56.0,25.0,5
,2018-04-02,730.0,1,3694,15.0,17.0,4889,73.0,89.0,3682,27.0,53.0,4672,70.0,19.0,4978,57.0,79.0,3782,54.0,80.0,8
