,date,money,number_race,racer_1_ID,racer_1_b,racer_1_m,racer_2_ID,racer_2_b,racer_2_m,racer_3_ID,racer_3_b,racer_3_m,racer_4_ID,racer_4_b,racer_4_m,racer_5_ID,racer_5_b,racer_5_m,racer_6_ID,racer_6_b,racer_6_m,result_com
,2016-04-01,2670.0,1,3493,28.0,37.0,2568,55.0,20.0,4613,59.0,93.0,4912,73.0,63.0,4015,76.0,73.0,3794,79.0,26.0,3
,2016-04-01,11330.0,2,3977,7.0,18.0,3329,65.0,61.0,3846,70.0,91.0,4390,58.0,92.0,4858,61.0,70.0,3858,68.0,94.0,61
,2016-04-01,7720.0,3,4533,54.0,88.0,3370,72.0,22.0,3312,19.0,14.0,3715,74.0,69.0,3901,30.0,77.0,4839,75.0,67.0,25
,2016-04-01,7490.0,4,4154,57.0,87.0,4575,69.0,79.0,3398,60.0,76.0,3427,67.0,30.0,4903,33.0,66.0,4380,23.0,31.0,21
,2016-04-01,6620.0,5,4710,29.0,27.0,4564,11.0,81.0,2568,55.0,20.0,4293,25.0,19.0,3662,71.0,64.0,4086,24.0,55.0,17
,2016-04-01,1470.0,6,3282,15.0,89.0,3256,62.0,82.0,3190,63.0,75.0,3921,34.0,24.0,3858,68.0,94.0,4015,76.0,73.0,24
,2016-04-01,1620.0,7,3370,72.0,22.0,3747,77.0,54.0,3404,3.0,74.0,4056,26.0,17.0,3794,79.0,26.0,4388,64.0,85.0,39
,2016-04-01,6350.0,8,3072,12.0,56.0,3977,7.0,18.0,3715,74.0,69.0,3501,9.0,33.0,4528,66.0,86.0,4035,14.0,68.0,1
,2016-04-01,5360.0,9,3896,31.0,80.0,4390,58.0,92.0,3868,10.0,84.0,3493,28.0,37.0,4142,78.0,83.0,3398,60.0,76.0,21
,2016-04-01,4700.0,10,3708,2.0,21.0,4020,32.0,90.0,3921,34.0,24.0,4380,23.0,31.0,3895,80.0,78.0,3846,70.0,91.0,4
,2016-04-01,19340.0,11,3329,65.0,61.0,3282,15.0,89.0,3747,77.0,54.0,4154,57.0,87.0,4086,24.0,55.0,3901,30.0,77.0,93
,2016-04-01,5070.0,12,3256,62.0,82.0,3312,19.0,14.0,4388,64.0,85.0,3662,71.0,64.0,3427,67.0,30.0,4528,66.0,86.0,21
,2016-04-02,3030.0,1,3398,60.0,76.0,3715,74.0,69.0,4564,11.0,81.0,4839,75.0,67.0,4293,25.0,19.0,4613,59.0,93.0,34
