,date,money,number_race,racer_1_ID,racer_1_b,racer_1_m,racer_2_ID,racer_2_b,racer_2_m,racer_3_ID,racer_3_b,racer_3_m,racer_4_ID,racer_4_b,racer_4_m,racer_5_ID,racer_5_b,racer_5_m,racer_6_ID,racer_6_b,racer_6_m,result_com
,2015-04-12,6950.0,4,3859,28.0,36.0,3918,19.0,76.0,4514,58.0,73.0,4219,75.0,30.0,4532,59.0,79.0,3852,51.0,20.0,15
,2015-04-12,680.0,5,4161,73.0,75.0,3880,22.0,69.0,4397,57.0,82.0,4287,79.0,65.0,4798,39.0,25.0,3081,35.0,32.0,52
,2015-04-12,2300.0,6,3887,8.0,93.0,2842,13.0,72.0,3826,50.0,24.0,3277,4.0,91.0,3686,70.0,38.0,4144,36.0,39.0,16
,2015-04-12,2910.0,7,4360,56.0,51.0,3605,12.0,88.0,4538,2.0,31.0,4136,67.0,35.0,4062,78.0,28.0,3339,11.0,87.0,14
,2015-04-12,1530.0,8,4137,74.0,60.0,4514,58.0,73.0,2785,64.0,57.0,4320,65.0,70.0,4751,1.0,86.0,3711,26.0,29.0,62
,2015-04-12,1120.0,9,4287,79.0,65.0,3859,28.0,36.0,3079,34.0,83.0,3877,17.0,12.0,3552,77.0,74.0,4016,72.0,80.0,5
,2015-04-12,690.0,10,3826,50.0,24.0,2781,15.0,71.0,3409,60.0,77.0,4389,68.0,63.0,4219,75.0,30.0,4180,71.0,90.0,12
,2015-04-12,590.0,11,4397,57.0,82.0,3887,8.0,93.0,3918,19.0,76.0,4430,16.0,17.0,3475,80.0,33.0,4062,78.0,28.0,2
,2015-04-12,1000.0,12,4320,65.0,70.0,3919,69.0,94.0,3081,35.0,32.0,4532,59.0,79.0,4136,67.0,35.0,4435,55.0,27.0,5
,2015-04-13,3330.0,1,3880,22.0,69.0,2781,15.0,71.0,3339,11.0,87.0,4798,39.0,25.0,4514,58.0,73.0,4647,9.0,37.0,82
,2015-04-13,530.0,2,4435,55.0,27.0,4343,66.0,92.0,3859,28.0,36.0,3605,12.0,88.0,3079,34.0,83.0,4833,63.0,78.0,14
,2015-04-13,590.0,3,3686,70.0,38.0,3826,50.0,24.0,4538,2.0,31.0,3081,35.0,32.0,4360,56.0,51.0,3852,51.0,20.0,2
,2015-04-13,24220.0,4,4389,68.0,63.0,4137,74.0,60.0,3877,17.0,12.0,3552,77.0,74.0,4652,76.0,22.0,3887,8.0,93.0,44
,2015-04-13,640.0,5,4062,78.0,28.0,4180,71.0,90.0,3475,80.0,33.0,4046,61.0,34.0,4320,65.0,70.0,4832,62.0,89.0,13
,2015-04-13,990.0,6,4532,59.0,79.0,3409,60.0,77.0,4287,79.0,65.0,2781,15.0,71.0,3277,4.0,91.0,4397,57.0,82.0,17
,2015-04-13,1840.0,7,4136,67.0,35.0,4219,75.0,30.0,4430,16.0,17.0,4144,36.0,39.0,2842,13.0,72.0,4751,1.0,86.0,1
,2015-04-13,2340.0,8,4016,72.0,80.0,3918,19.0,76.0,3711,26.0,29.0,2785,64.0,57.0,3919,69.0,94.0,4161,73.0,75.0,14
,2015-04-13,15250.0,9,3887,8.0,93.0,3081,35.0,32.0,3826,50.0,24.0,4180,71.0,90.0,4287,79.0,65.0,3859,28.0,36.0,26
,2015-04-13,27090.0,10,4320,65.0,70.0,3079,34.0,83.0,4532,59.0,79.0,4136,67.0,35.0,4137,74.0,60.0,3686,70.0,38.0,81
,2015-04-13,810.0,11,4397,57.0,82.0,4144,36.0,39.0,4360,56.0,51.0,4062,78.0,28.0,4389,68.0,63.0,4016,72.0,80.0,3
,2015-04-13,10060.0,12,3918,19.0,76.0,4430,16.0,17.0,4435,55.0,27.0,3409,60.0,77.0,4538,2.0,31.0,3877,17.0,12.0,62
,2015-04-14,1050.0,1,4161,73.0,75.0,4652,76.0,22.0,3605,12.0,88.0,4538,2.0,31.0,4833,63.0,78.0,4046,61.0,34.0,10
,2015-04-14,540.0,2,3877,17.0,12.0,4435,55.0,27.0,4360,56.0,51.0,4751,1.0,86.0,4798,39.0,25.0,2842,13.0,72.0,1
,2015-04-14,33860.0,3,3859,28.0,36.0,3711,26.0,29.0,3686,70.0,38.0,3918,19.0,76.0,4832,62.0,89.0,4647,9.0,37.0,27
,2015-04-14,650.0,4,3409,60.0,77.0,4062,78.0,28.0,4136,67.0,35.0,4219,75.0,30.0,4514,58.0,73.0,3852,51.0,20.0,1
,2015-04-14,990.0,5,4430,16.0,17.0,4287,79.0,65.0,3919,69.0,94.0,3079,34.0,83.0,3880,22.0,69.0,4833,63.0,78.0,6
,2015-04-14,4080.0,6,3475,80.0,33.0,4532,59.0,79.0,2781,15.0,71.0,4016,72.0,80.0,4538,2.0,31.0,4798,39.0,25.0,63
,2015-04-14,620.0,7,3711,26.0,29.0,4389,68.0,63.0,3277,4.0,91.0,3887,8.0,93.0,4343,66.0,92.0,4751,1.0,86.0,9
