,date,money,number_race,racer_1_ID,racer_1_b,racer_1_m,racer_2_ID,racer_2_b,racer_2_m,racer_3_ID,racer_3_b,racer_3_m,racer_4_ID,racer_4_b,racer_4_m,racer_5_ID,racer_5_b,racer_5_m,racer_6_ID,racer_6_b,racer_6_m,result_com
,2019-04-01,1060.0,1,3607,84.0,35.0,4306,20.0,33.0,4740,31.0,59.0,4393,52.0,88.0,3673,81.0,56.0,4970,72.0,58.0,1
,2019-04-01,15510.0,2,3305,29.0,52.0,3445,21.0,25.0,4553,65.0,61.0,3621,53.0,36.0,4421,79.0,71.0,5049,22.0,50.0,114
,2019-04-01,4500.0,3,2903,25.0,24.0,3951,69.0,67.0,4144,60.0,38.0,4656,66.0,70.0,4369,70.0,75.0,3979,71.0,90.0,46
,2019-04-01,880.0,4,3025,77.0,29.0,4184,17.0,93.0,4778,54.0,85.0,3826,74.0,80.0,4193,73.0,63.0,5060,33.0,14.0,30
,2019-04-01,24610.0,5,3888,18.0,12.0,4441,87.0,28.0,4508,56.0,89.0,3809,14.0,26.0,4740,31.0,59.0,3455,62.0,23.0,25
,2019-04-01,2060.0,6,4145,61.0,66.0,3422,36.0,54.0,3186,24.0,10.0,4836,51.0,87.0,4903,63.0,30.0,3933,57.0,39.0,36
,2019-04-01,740.0,7,4404,58.0,69.0,2903,25.0,24.0,3719,85.0,86.0,4306,20.0,33.0,3385,82.0,78.0,3974,32.0,92.0,43
,2019-04-01,11920.0,8,3951,69.0,67.0,3797,83.0,94.0,3673,81.0,56.0,3828,12.0,21.0,4248,15.0,79.0,4104,75.0,72.0,14
,2019-04-01,70190.0,9,4393,52.0,88.0,4177,19.0,27.0,3730,38.0,34.0,4553,65.0,61.0,3809,14.0,26.0,3826,74.0,80.0,74
,2019-04-01,11760.0,10,3445,21.0,25.0,3933,57.0,39.0,3607,84.0,35.0,4369,70.0,75.0,4778,54.0,85.0,4452,64.0,62.0,18
,2019-04-01,3710.0,11,3385,82.0,78.0,3882,86.0,68.0,4441,87.0,28.0,4193,73.0,63.0,4836,51.0,87.0,3621,53.0,36.0,7
,2019-04-01,1840.0,12,3719,85.0,86.0,3828,12.0,21.0,4184,17.0,93.0,3422,36.0,54.0,3888,18.0,12.0,4144,60.0,38.0,4
,2019-04-02,990.0,1,4508,56.0,89.0,4836,51.0,87.0,3809,14.0,26.0,5060,33.0,14.0,3305,29.0,52.0,4145,61.0,66.0,3
